global,year,neo9
global,2000,307495.38423640095
global,2001,293698.33084140765
global,2002,280903.0772781535
global,2003,269290.67546480615
global,2004,257533.4864718276
global,2005,245202.5462141335
global,2006,233571.14947493444
global,2007,222805.70473883627
global,2008,213720.64225910138
global,2009,205120.52169950143
global,2010,197027.51390874945
global,2011,189800.8217455719
global,2012,182505.45223898417
global,2013,175439.50339379348
global,2014,169031.02254076884
global,2015,163075.61287527834
global,2016,158790.18065634207
global,2017,155249.06544904923
