global,year,post5
global,2000,1669.8659976607692
global,2001,1555.1744770638597
global,2002,1414.2342980917074
global,2003,1292.451154394066
global,2004,1171.7249944465702
global,2005,994.9811454620199
global,2006,864.1775867217461
global,2007,760.957729493504
global,2008,693.1459632813874
global,2009,646.3812011537293
global,2010,611.7522271143498
global,2011,579.0347935046403
global,2012,549.9847358209686
global,2013,515.911233101521
global,2014,483.15303674234264
global,2015,448.18403433095443
global,2016,430.49348438974954
global,2017,411.34403175794733
