country,year,neo5
afg,2000,10807.474609375
afg,2001,10116.9814453125
afg,2002,9083.416015625
afg,2003,7131.31494140625
afg,2004,4617.60107421875
afg,2005,3329.886962890625
afg,2006,2832.2578125
afg,2007,2721.070068359375
afg,2008,2543.916015625
afg,2009,2432.141357421875
afg,2010,2453.1025390625
afg,2011,2430.4775390625
afg,2012,2210.651611328125
afg,2013,1904.0057373046875
afg,2014,1612.9012451171875
afg,2015,1395.8828125
afg,2016,1251.025634765625
afg,2017,1222.37158203125
ago,2000,2612.18212890625
ago,2001,2316.3173828125
ago,2002,2046.2515869140625
ago,2003,1794.4921875
ago,2004,1574.1202392578125
ago,2005,1355.433349609375
ago,2006,1161.2841796875
ago,2007,985.9489135742188
ago,2008,841.1796264648438
ago,2009,754.7083129882812
ago,2010,724.1294555664062
ago,2011,692.5769653320312
ago,2012,641.1341552734375
ago,2013,566.7404174804688
ago,2014,502.2530822753906
ago,2015,460.21954345703125
ago,2016,430.82794189453125
ago,2017,429.45281982421875
alb,2000,3.371674060821533
alb,2001,3.544708013534546
alb,2002,3.739475965499878
alb,2003,3.463499069213867
alb,2004,2.9137680530548096
alb,2005,2.6393539905548096
alb,2006,2.4971120357513428
alb,2007,2.4612209796905518
alb,2008,2.4422390460968018
alb,2009,2.436357021331787
alb,2010,2.438033103942871
alb,2011,2.442931890487671
alb,2012,2.350745677947998
alb,2013,2.304652690887451
alb,2014,2.316175937652588
alb,2015,2.3622689247131348
alb,2016,2.396838903427124
alb,2017,2.396838903427124
and,2000,0.0
and,2001,0.0
and,2002,0.0
and,2003,0.0
and,2004,0.0
and,2005,0.0
and,2006,0.0
and,2007,0.0
and,2008,0.0
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,0.0
are,2001,0.0
are,2002,0.0
are,2003,0.0
are,2004,0.0
are,2005,0.0
are,2006,0.0
are,2007,0.0
are,2008,0.0
are,2009,0.0
are,2010,0.0
are,2011,0.0
are,2012,0.0
are,2013,0.0
