global,year,fneo17
global,2000,0.01521896943449974
global,2001,0.014675874263048172
global,2002,0.014296988025307655
global,2003,0.01392793096601963
global,2004,0.013842280022799969
global,2005,0.013660631142556667
global,2006,0.013345137238502502
global,2007,0.013150585815310478
global,2008,0.013167843222618103
global,2009,0.013215466402471066
global,2010,0.01309226080775261
global,2011,0.012979093939065933
global,2012,0.012984202243387699
global,2013,0.012830092571675777
global,2014,0.012713249772787094
global,2015,0.012746748514473438
global,2016,0.012741219252347946
global,2017,0.012679096311330795
