global,year,ufive9
global,2000,1755348.3818751946
global,2001,1683710.8088885564
global,2002,1613230.3984274846
global,2003,1545503.7457366716
global,2004,1484427.5282270228
global,2005,1423983.8243511291
global,2006,1375835.2406886322
global,2007,1319055.8583499258
global,2008,1260045.9334173067
global,2009,1207541.4895332465
global,2010,1156694.4034706738
global,2011,1104533.4859566325
global,2012,1047449.3351207748
global,2013,988262.7692176513
global,2014,937096.2074192166
global,2015,872131.4550890264
global,2016,840783.4297350666
global,2017,808693.4754400789
