global,year,rpost15
global,2000,1.8589383363723755
global,2001,1.8300436735153198
global,2002,1.7941266298294067
global,2003,1.740448236465454
global,2004,1.7082881927490234
global,2005,1.6672712564468384
global,2006,1.6461831331253052
global,2007,1.6207973957061768
global,2008,1.58649742603302
global,2009,1.561678171157837
global,2010,1.5539969205856323
global,2011,1.5277992486953735
global,2012,1.4895493984222412
global,2013,1.4667388200759888
global,2014,1.4497549533843994
global,2015,1.434627890586853
global,2016,1.4035108089447021
global,2017,1.358060359954834
