global,year,fufive17
global,2000,0.04490696266293526
global,2001,0.0448438934981823
global,2002,0.04489823803305626
global,2003,0.044602714478969574
global,2004,0.049254160374403
global,2005,0.04617443308234215
global,2006,0.047800321131944656
global,2007,0.04911993071436882
global,2008,0.05275518819689751
global,2009,0.05134433135390282
global,2010,0.05747464299201965
global,2011,0.053804147988557816
global,2012,0.055469296872615814
global,2013,0.05699300765991211
global,2014,0.058652304112911224
global,2015,0.0605509914457798
global,2016,0.061256758868694305
global,2017,0.06212284043431282
