country,year,ufive7
afg,2000,5624.193359375
afg,2001,5875.2333984375
afg,2002,5920.8359375
afg,2003,6190.1357421875
afg,2004,6500.94970703125
afg,2005,6601.9306640625
afg,2006,6493.49365234375
afg,2007,6123.79541015625
afg,2008,5657.52294921875
afg,2009,5064.12255859375
afg,2010,4523.34228515625
afg,2011,4086.23828125
afg,2012,3826.750244140625
afg,2013,3640.100341796875
afg,2014,3238.432861328125
afg,2015,2932.85205078125
afg,2016,2792.87939453125
afg,2017,2681.26611328125
ago,2000,8366.005859375
ago,2001,8329.4560546875
ago,2002,5589.15966796875
ago,2003,5429.95068359375
ago,2004,5209.2841796875
ago,2005,4880.2001953125
ago,2006,4480.615234375
ago,2007,4056.024169921875
ago,2008,3742.703369140625
ago,2009,3507.43994140625
ago,2010,3312.231689453125
ago,2011,3113.389404296875
ago,2012,2917.477783203125
ago,2013,2677.674560546875
ago,2014,2264.365478515625
ago,2015,2067.64208984375
ago,2016,1954.1893310546875
ago,2017,1893.9737548828125
alb,2000,50.05794906616211
alb,2001,43.59047317504883
alb,2002,36.90203094482422
alb,2003,31.27313995361328
alb,2004,26.449678421020508
alb,2005,22.219518661499023
alb,2006,18.8551025390625
alb,2007,16.08229637145996
alb,2008,13.882442474365234
alb,2009,14.31017780303955
alb,2010,12.719828605651855
alb,2011,11.46115779876709
alb,2012,10.388232231140137
alb,2013,9.42127799987793
alb,2014,8.572809219360352
alb,2015,7.867870807647705
alb,2016,7.1740336418151855
alb,2017,6.774382591247559
and,2000,0.009422496892511845
and,2001,0.013121556490659714
and,2002,0.011824128217995167
and,2003,0.006871645804494619
and,2004,0.005761732347309589
and,2005,0.004823365248739719
and,2006,0.0039112200029194355
and,2007,0.0031145079992711544
and,2008,0.002302771434187889
and,2009,0.0015096989227458835
and,2010,0.0007500749779865146
and,2011,0.00024658965412527323
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,9.575855255126953
are,2001,9.341662406921387
are,2002,9.115511894226074
are,2003,8.979474067687988
are,2004,8.937122344970703
are,2005,8.895654678344727
are,2006,8.941320419311523
are,2007,8.87032699584961
are,2008,8.948965072631836
are,2009,8.901873588562012
are,2010,8.858386993408203
are,2011,8.748113632202148
are,2012,8.683380126953125
are,2013,8.565306663513184
are,2014,8.579148292541504
are,2015,8.584017753601074
are,2016,8.55591106414795
are,2017,8.430211067199707
