region,year,fneo15
5_emr,2000,0.0734393373131752
6_wpr,2000,0.12509363889694214
1_afr,2000,0.05976660177111626
2_amr,2000,0.1649545431137085
3_sear,2000,0.06969792395830154
4_eur,2000,0.21733716130256653
5_emr,2001,0.07484864443540573
2_amr,2001,0.16908787190914154
3_sear,2001,0.07145660370588303
6_wpr,2001,0.13164570927619934
1_afr,2001,0.05933061242103577
4_eur,2001,0.22014732658863068
5_emr,2002,0.07631281018257141
3_sear,2002,0.0732882022857666
4_eur,2002,0.22065427899360657
1_afr,2002,0.05921762436628342
6_wpr,2002,0.13822373747825623
2_amr,2002,0.17261719703674316
6_wpr,2003,0.14282870292663574
4_eur,2003,0.22255533933639526
3_sear,2003,0.07528132945299149
1_afr,2003,0.0594029426574707
5_emr,2003,0.07786282151937485
2_amr,2003,0.17661216855049133
4_eur,2004,0.22176457941532135
5_emr,2004,0.07944637537002563
6_wpr,2004,0.15153749287128448
1_afr,2004,0.05994975566864014
3_sear,2004,0.07751528173685074
2_amr,2004,0.18289731442928314
4_eur,2005,0.22498629987239838
2_amr,2005,0.18271376192569733
6_wpr,2005,0.16048425436019897
5_emr,2005,0.0807458832859993
3_sear,2005,0.07997846603393555
1_afr,2005,0.06088468059897423
1_afr,2006,0.062059372663497925
2_amr,2006,0.19329501688480377
5_emr,2006,0.08184300363063812
4_eur,2006,0.22506114840507507
3_sear,2006,0.08265606313943863
6_wpr,2006,0.16679948568344116
5_emr,2007,0.08290262520313263
1_afr,2007,0.06367954611778259
6_wpr,2007,0.17058219015598297
2_amr,2007,0.19341221451759338
3_sear,2007,0.0854760929942131
4_eur,2007,0.22567050158977509
5_emr,2008,0.08400064706802368
6_wpr,2008,0.17094522714614868
3_sear,2008,0.08837205171585083
2_amr,2008,0.19860102236270905
4_eur,2008,0.22711853682994843
1_afr,2008,0.0655357763171196
5_emr,2009,0.08502650260925293
1_afr,2009,0.06754744797945023
6_wpr,2009,0.17230947315692902
4_eur,2009,0.22109690308570862
2_amr,2009,0.20075981318950653
3_sear,2009,0.09131067246198654
6_wpr,2010,0.17567676305770874
4_eur,2010,0.23102402687072754
1_afr,2010,0.06976374238729477
3_sear,2010,0.09449556469917297
2_amr,2010,0.2070552110671997
5_emr,2010,0.0859159529209137
1_afr,2011,0.07246728986501694
4_eur,2011,0.23994490504264832
5_emr,2011,0.08690837025642395
3_sear,2011,0.09809844940900803
2_amr,2011,0.209320530295372
6_wpr,2011,0.17905974388122559
2_amr,2012,0.21363680064678192
6_wpr,2012,0.18162541091442108
5_emr,2012,0.08799005299806595
3_sear,2012,0.10236130654811859
1_afr,2012,0.07511327415704727
4_eur,2012,0.23535633087158203
1_afr,2013,0.07771900296211243
5_emr,2013,0.0893825963139534
2_amr,2013,0.21268555521965027
4_eur,2013,0.23791709542274475
3_sear,2013,0.10729160904884338
6_wpr,2013,0.18248260021209717
2_amr,2014,0.2152048945426941
5_emr,2014,0.09082998335361481
3_sear,2014,0.11289127171039581
4_eur,2014,0.2414393424987793
1_afr,2014,0.08044398576021194
6_wpr,2014,0.18119077384471893
2_amr,2015,0.2166348248720169
4_eur,2015,0.24173139035701752
6_wpr,2015,0.17962853610515594
1_afr,2015,0.08309333771467209
5_emr,2015,0.09222202748060226
3_sear,2015,0.1189633160829544
2_amr,2016,0.21501600742340088
1_afr,2016,0.08561228215694427
3_sear,2016,0.11963961273431778
5_emr,2016,0.0934547483921051
6_wpr,2016,0.1807849258184433
4_eur,2016,0.2445620745420456
1_afr,2017,0.08545032143592834
2_amr,2017,0.21453461050987244
4_eur,2017,0.2442343533039093
3_sear,2017,0.11959022283554077
5_emr,2017,0.09300298243761063
6_wpr,2017,0.18083716928958893
