country,year,neo13
afg,2000,2867.83203125
afg,2001,2983.13232421875
afg,2002,3156.519287109375
afg,2003,3421.3388671875
afg,2004,3752.4443359375
afg,2005,3908.059814453125
afg,2006,3893.847412109375
afg,2007,3756.4365234375
afg,2008,3625.48828125
afg,2009,3468.94775390625
afg,2010,3260.76171875
afg,2011,3061.276123046875
afg,2012,2930.731689453125
afg,2013,2851.887451171875
afg,2014,2801.921142578125
afg,2015,2745.2763671875
afg,2016,2672.255615234375
afg,2017,2611.048828125
ago,2000,1770.5404052734375
ago,2001,1804.79833984375
ago,2002,1845.3824462890625
ago,2003,1921.099853515625
ago,2004,1999.8424072265625
ago,2005,2045.2716064453125
ago,2006,2022.3284912109375
ago,2007,1986.35546875
ago,2008,1946.66845703125
ago,2009,1906.6636962890625
ago,2010,1835.0462646484375
ago,2011,1769.8795166015625
ago,2012,1739.8377685546875
ago,2013,1756.4532470703125
ago,2014,1804.7674560546875
ago,2015,1853.3807373046875
ago,2016,1929.2930908203125
ago,2017,1923.135009765625
alb,2000,20.364248275756836
alb,2001,19.44148826599121
alb,2002,19.27936363220215
alb,2003,18.95452308654785
alb,2004,18.460344314575195
alb,2005,17.554323196411133
alb,2006,16.31608772277832
alb,2007,14.885371208190918
alb,2008,13.584683418273926
alb,2009,12.398163795471191
alb,2010,11.778592109680176
alb,2011,11.312849044799805
alb,2012,11.026260375976562
alb,2013,10.963362693786621
alb,2014,11.172674179077148
alb,2015,11.564105033874512
alb,2016,11.947920799255371
alb,2017,11.946478843688965
and,2000,0.0
and,2001,0.0
and,2002,0.0
and,2003,0.0
and,2004,0.0
and,2005,0.0
and,2006,0.0
and,2007,0.0
and,2008,0.0
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,43.48287582397461
are,2001,41.944583892822266
are,2002,40.82508087158203
are,2003,39.95652389526367
are,2004,39.3990478515625
are,2005,38.69367218017578
are,2006,38.106414794921875
are,2007,37.70292663574219
are,2008,37.30177688598633
are,2009,37.005767822265625
are,2010,36.76565170288086
are,2011,36.59272384643555
are,2012,36.77814483642578
are,2013,37.07494354248047
are,2014,37.649810791015625
are,2015,38.41565704345703
are,2016,38.88370895385742
are,2017,39.06867218017578
arg,2000,513.2582397460938
arg,2001,476.59130859375
arg,2002,374.7021789550781
arg,2003,392.8423156738281
arg,2004,390.1307373046875
arg,2005,383.6215515136719
arg,2006,369.458984375
arg,2007,366.7748718261719
arg,2008,371.42669677734375
arg,2009,365.7562561035156
arg,2010,341.9280090332031
arg,2011,380.44378662109375
arg,2012,428.8426513671875
arg,2013,435.5409851074219
arg,2014,435.472900390625
arg,2015,398.244873046875
arg,2016,372.1006774902344
arg,2017,350.6166076660156
arm,2000,21.67508888244629
arm,2001,22.315332412719727
arm,2002,23.240842819213867
arm,2003,24.111515045166016
arm,2004,24.88563346862793
arm,2005,25.719545364379883
arm,2006,26.206079483032227
arm,2007,26.368488311767578
arm,2008,26.163949966430664
arm,2009,25.89647674560547
arm,2010,25.326377868652344
arm,2011,24.631153106689453
arm,2012,23.627727508544922
arm,2013,22.653167724609375
arm,2014,21.548749923706055
arm,2015,20.534622192382812
arm,2016,19.40985679626465
arm,2017,18.06060218811035
atg,2000,0.8045976758003235
atg,2001,0.7463620901107788
atg,2002,0.7827699184417725
atg,2003,0.37576398253440857
atg,2004,0.6566213965415955
atg,2005,0.6397849321365356
atg,2006,1.7413493394851685
atg,2007,2.098447799682617
atg,2008,2.784858226776123
atg,2009,2.080357074737549
atg,2010,1.855769157409668
atg,2011,0.995555579662323
atg,2012,0.3864734470844269
atg,2013,0.5568181276321411
atg,2014,0.5833333134651184
atg,2015,0.8209876418113708
atg,2016,0.4634259343147278
atg,2017,0.611111044883728
aus,2000,200.28268432617188
aus,2001,224.99998474121094
aus,2002,224.05978393554688
aus,2003,252.13844299316406
aus,2004,140.46969604492188
aus,2005,143.5795440673828
aus,2006,146.00245666503906
aus,2007,140.68606567382812
aus,2008,167.02586364746094
aus,2009,193.19444274902344
aus,2010,159.41212463378906
aus,2011,142.98580932617188
aus,2012,143.35260009765625
aus,2013,139.03372192382812
aus,2014,128.09999084472656
aus,2015,131.44000244140625
aus,2016,125.88313293457031
aus,2017,122.25537872314453
aut,2000,21.823999404907227
aut,2001,35.27419662475586
aut,2002,3.334883689880371
aut,2003,9.237886428833008
aut,2004,7.662447929382324
aut,2005,0.9733333587646484
aut,2006,11.210526466369629
aut,2007,22.021276473999023
aut,2008,26.39000129699707
aut,2009,37.8532600402832
aut,2010,32.349517822265625
aut,2011,21.90322494506836
aut,2012,28.525714874267578
aut,2013,33.39890670776367
aut,2014,29.467742919921875
aut,2015,26.71428680419922
aut,2016,30.525001525878906
aut,2017,30.030000686645508
aze,2000,240.44361877441406
aze,2001,225.06967163085938
aze,2002,212.49447631835938
aze,2003,202.0281524658203
aze,2004,193.48046875
aze,2005,186.634521484375
aze,2006,181.98289489746094
aze,2007,178.9972381591797
aze,2008,176.15420532226562
aze,2009,173.82212829589844
aze,2010,171.290771484375
aze,2011,165.14613342285156
aze,2012,157.78025817871094
aze,2013,149.20077514648438
aze,2014,139.31268310546875
aze,2015,128.4856719970703
aze,2016,117.47968292236328
aze,2017,106.66768646240234
bdi,2000,431.509521484375
bdi,2001,442.27703857421875
bdi,2002,457.5609130859375
bdi,2003,470.1922607421875
bdi,2004,477.7102966308594
bdi,2005,481.663818359375
bdi,2006,486.4288635253906
bdi,2007,502.3396911621094
bdi,2008,529.23828125
bdi,2009,562.8662719726562
bdi,2010,573.0255126953125
bdi,2011,559.2638549804688
bdi,2012,542.6257934570312
bdi,2013,533.6995239257812
bdi,2014,532.2740478515625
bdi,2015,529.778564453125
bdi,2016,524.7218017578125
bdi,2017,519.7623291015625
bel,2000,44.9249267578125
bel,2001,45.0
bel,2002,56.09756088256836
bel,2003,50.156742095947266
bel,2004,46.041236877441406
bel,2005,47.07920837402344
bel,2006,64.2272720336914
bel,2007,58.62300109863281
bel,2008,60.085628509521484
bel,2009,48.36298751831055
bel,2010,51.65217590332031
bel,2011,51.340660095214844
bel,2012,49.48630142211914
bel,2013,49.06666564941406
bel,2014,54.329750061035156
bel,2015,50.22713851928711
bel,2016,49.3397331237793
bel,2017,48.27484893798828
ben,2000,468.421875
ben,2001,468.57415771484375
ben,2002,473.3663024902344
ben,2003,485.0409240722656
ben,2004,504.675048828125
ben,2005,518.9253540039062
ben,2006,523.8679809570312
ben,2007,524.47802734375
ben,2008,530.8512573242188
ben,2009,544.7144165039062
ben,2010,561.5400390625
ben,2011,575.8024291992188
ben,2012,585.4387817382812
ben,2013,586.626708984375
ben,2014,579.66259765625
ben,2015,571.6353149414062
ben,2016,563.8018798828125
ben,2017,565.4064331054688
bfa,2000,777.0064697265625
bfa,2001,789.0380249023438
bfa,2002,795.1942138671875
bfa,2003,800.0556640625
bfa,2004,795.5160522460938
bfa,2005,791.4423828125
bfa,2006,784.1490478515625
bfa,2007,780.5249633789062
bfa,2008,778.1602783203125
bfa,2009,778.8927001953125
bfa,2010,778.5440063476562
bfa,2011,777.3814697265625
bfa,2012,772.3635864257812
bfa,2013,770.16064453125
bfa,2014,768.0618286132812
bfa,2015,767.282470703125
bfa,2016,766.3076171875
bfa,2017,761.31396484375
bgd,2000,10057.4765625
bgd,2001,9539.41015625
bgd,2002,9012.2958984375
bgd,2003,8506.041015625
bgd,2004,8032.26708984375
bgd,2005,7584.4072265625
bgd,2006,7196.39111328125
bgd,2007,6783.27001953125
bgd,2008,6361.72607421875
bgd,2009,5939.53662109375
bgd,2010,5532.673828125
