global,year,rufive2
global,2000,1.7853662967681885
global,2001,1.81094491481781
global,2002,1.8118256330490112
global,2003,1.788344144821167
global,2004,1.739922285079956
global,2005,1.6673377752304077
global,2006,1.5770176649093628
global,2007,1.449393391609192
global,2008,1.3020014762878418
global,2009,1.151964545249939
global,2010,1.0476272106170654
global,2011,0.9118064045906067
global,2012,0.7935857772827148
global,2013,0.6955344676971436
global,2014,0.6386290788650513
global,2015,0.5879673957824707
global,2016,0.544256865978241
global,2017,0.5368231534957886
