global,year,fpost15
global,2000,0.04047307372093201
global,2001,0.04128650575876236
global,2002,0.04224351793527603
global,2003,0.042291972786188126
global,2004,0.044328197836875916
global,2005,0.04507332667708397
global,2006,0.04775170981884003
global,2007,0.05014588683843613
global,2008,0.05100240558385849
global,2009,0.05285315588116646
global,2010,0.05498697981238365
global,2011,0.056326065212488174
global,2012,0.05845839902758598
global,2013,0.05989972501993179
global,2014,0.06193680316209793
global,2015,0.06378772854804993
global,2016,0.06473369151353836
global,2017,0.0661638081073761
