global,year,ufive11
global,2000,1131735.797745321
global,2001,1102073.3520370312
global,2002,1070461.5048811845
global,2003,1036728.8330416027
global,2004,1003395.307605952
global,2005,970306.9632163588
global,2006,942010.9586237632
global,2007,913069.350859154
global,2008,884462.1729977448
global,2009,855925.2868389301
global,2010,826341.9331683144
global,2011,797438.2277129926
global,2012,769842.4375599436
global,2013,746199.0654594619
global,2014,724976.2619488165
global,2015,704627.3828589991
global,2016,687462.2315653618
global,2017,671505.2664414085
