global,year,ufive3
global,2000,1199963.2420638527
global,2001,1126442.4002755363
global,2002,1058764.630809655
global,2003,991680.3570581151
global,2004,929955.3608510833
global,2005,872586.364174647
global,2006,824634.7461759943
global,2007,776680.0536190767
global,2008,730748.9590973894
global,2009,692753.1401910592
global,2010,655345.9993922206
global,2011,619794.6436615661
global,2012,582329.4973683179
global,2013,554425.3577244412
global,2014,524501.3082903953
global,2015,496877.7136355564
global,2016,470679.37396654114
global,2017,440521.21210649237
