global,year,ufive13
global,2000,800230.3174464423
global,2001,776364.7459091889
global,2002,752049.1471863464
global,2003,726726.449469455
global,2004,700942.8047070489
global,2005,676409.0386461937
global,2006,657890.7331476919
global,2007,639902.9875828712
global,2008,624159.3019528536
global,2009,612163.3161677382
global,2010,600359.9127828805
global,2011,587131.7314507255
global,2012,571909.209357664
global,2013,566613.0831124634
global,2014,562587.2420331612
global,2015,554881.2281993255
global,2016,545881.8662051782
global,2017,529956.4188958332
