region,year,post15
5_emr,2000,25610.718861171397
6_wpr,2000,41745.33561417771
1_afr,2000,65342.061863758005
2_amr,2000,31531.300026685974
3_sear,2000,56607.71599748626
4_eur,2000,21515.845239067316
5_emr,2001,25402.965158867257
2_amr,2001,30133.69018074579
3_sear,2001,55975.05837274197
6_wpr,2001,42456.21554183747
1_afr,2001,65239.96460829766
4_eur,2001,20293.650590700032
5_emr,2002,25077.22437463458
3_sear,2002,55166.295359069656
4_eur,2002,19127.20243090242
1_afr,2002,65220.774091162646
6_wpr,2002,42134.32419275572
2_amr,2002,29301.062478746757
6_wpr,2003,39964.81865878694
4_eur,2003,18237.133214067995
3_sear,2003,54443.59130360326
1_afr,2003,64713.48031591584
5_emr,2003,24887.00922902494
2_amr,2003,28131.049475247157
4_eur,2004,17507.42030178377
5_emr,2004,24721.542281155023
6_wpr,2004,38991.76960035562
1_afr,2004,64754.102228959106
3_sear,2004,53628.2381441186
2_amr,2004,28044.154252350996
4_eur,2005,16852.671731977607
2_amr,2005,27303.347330457338
6_wpr,2005,37493.08422302355
5_emr,2005,24538.396173499663
3_sear,2005,52645.8716365764
1_afr,2005,64906.19234495778
1_afr,2006,66237.95258420102
2_amr,2006,26846.550501426133
5_emr,2006,24554.4780210174
4_eur,2006,16256.835581618563
3_sear,2006,51371.191293698925
6_wpr,2006,37194.113669462415
5_emr,2007,24561.53314443138
1_afr,2007,67293.0713304637
6_wpr,2007,37106.74656527741
2_amr,2007,25976.676759696056
3_sear,2007,49857.580831705236
4_eur,2007,15737.063769361674
5_emr,2008,24696.03013722373
6_wpr,2008,35240.607516994176
3_sear,2008,48182.13722059667
2_amr,2008,25657.058947204147
4_eur,2008,15293.798807135328
1_afr,2008,68197.94086484768
5_emr,2009,24770.159188745547
1_afr,2009,69988.79101004565
6_wpr,2009,35190.10974033094
4_eur,2009,14229.361430307392
2_amr,2009,24576.51066979668
3_sear,2009,46375.89765332616
6_wpr,2010,35183.86481610907
4_eur,2010,14721.49986567084
1_afr,2010,71501.72516102114
3_sear,2010,44338.32384071193
2_amr,2010,24669.683918797935
5_emr,2010,24752.068043827865
1_afr,2011,72846.50577664237
4_eur,2011,14449.007550882032
5_emr,2011,24793.58287224874
3_sear,2011,42247.30805859862
2_amr,2011,24179.135133292217
6_wpr,2011,33916.51344489392
2_amr,2012,23790.01806887199
6_wpr,2012,32378.280000971794
5_emr,2012,24743.336800617744
3_sear,2012,39983.11491194151
1_afr,2012,73439.79453524132
4_eur,2012,13481.49560548696
1_afr,2013,75044.66412915704
5_emr,2013,25286.645086734803
2_amr,2013,23012.637672685676
4_eur,2013,12973.053595112928
3_sear,2013,38305.48015704532
6_wpr,2013,30551.367369548323
2_amr,2014,22958.62426050003
5_emr,2014,25465.71786593237
3_sear,2014,36243.17881558001
4_eur,2014,12358.32946320732
1_afr,2014,77192.41934405078
6_wpr,2014,28966.19148132713
2_amr,2015,22862.920865260014
4_eur,2015,11960.191863856506
6_wpr,2015,27740.542762267378
1_afr,2015,78098.54488384552
5_emr,2015,25116.805222319294
3_sear,2015,35524.16897684146
2_amr,2016,22514.373416774866
1_afr,2016,78690.56072256454
3_sear,2016,33265.33331574118
5_emr,2016,24864.31866111711
6_wpr,2016,26240.330786710438
4_eur,2016,11462.178590064783
1_afr,2017,77645.5039497599
2_amr,2017,21611.378668180645
4_eur,2017,10868.166184006128
3_sear,2017,31243.769885556885
5_emr,2017,24394.17022637275
6_wpr,2017,24884.007418695754
