global,year,age_group,cause,fraction_of_deaths
global,2010,neo,11,0.2494751363992691
global,2011,neo,11,0.2468952089548111
global,2012,neo,11,0.24447984993457794
global,2013,neo,11,0.2427280843257904
global,2014,neo,11,0.24133756756782532
global,2015,neo,11,0.2403348684310913
global,2016,neo,11,0.24034133553504944
global,2017,neo,11,0.24106329679489136
global,2000,neo,12,0.12059617042541504
global,2001,neo,12,0.12309643626213074
global,2002,neo,12,0.1258387714624405
global,2003,neo,12,0.12843327224254608
global,2004,neo,12,0.13110965490341187
global,2005,neo,12,0.13335083425045013
global,2006,neo,12,0.1347508281469345
global,2007,neo,12,0.13658839464187622
global,2008,neo,12,0.13831350207328796
global,2009,neo,12,0.139476016163826
global,2010,neo,12,0.1391630917787552
global,2011,neo,12,0.13797277212142944
global,2012,neo,12,0.1365758627653122
global,2013,neo,12,0.13568297028541565
global,2014,neo,12,0.13595671951770782
global,2015,neo,12,0.1363621950149536
global,2016,neo,12,0.13752812147140503
global,2017,neo,12,0.1381034106016159
global,2000,neo,13,0.05871091037988663
global,2001,neo,13,0.05886166915297508
global,2002,neo,13,0.05899004638195038
global,2003,neo,13,0.05890625715255737
global,2004,neo,13,0.058430563658475876
global,2005,neo,13,0.057805635035037994
global,2006,neo,13,0.057346489280462265
global,2007,neo,13,0.05666273459792137
global,2008,neo,13,0.056261107325553894
global,2009,neo,13,0.055762991309165955
global,2010,neo,13,0.054998718202114105
global,2011,neo,13,0.054342661052942276
global,2012,neo,13,0.05385737866163254
global,2013,neo,13,0.05365729704499245
global,2014,neo,13,0.05386443808674812
global,2015,neo,13,0.05388019606471062
global,2016,neo,13,0.05392429605126381
global,2017,neo,13,0.0536242313683033
global,2000,neo,15,0.08234601467847824
global,2001,neo,15,0.08363103121519089
global,2002,neo,15,0.08489350229501724
global,2003,neo,15,0.08612579852342606
global,2004,neo,15,0.08794358372688293
global,2005,neo,15,0.08969351649284363
global,2006,neo,15,0.09172207117080688
global,2007,neo,15,0.09325716644525528
global,2008,neo,15,0.09490033984184265
global,2009,neo,15,0.0963926687836647
global,2010,neo,15,0.09875819832086563
global,2011,neo,15,0.10120931267738342
global,2012,neo,15,0.1036209687590599
global,2013,neo,15,0.10610371083021164
global,2014,neo,15,0.10888954252004623
global,2015,neo,15,0.11159704625606537
global,2016,neo,15,0.112694151699543
global,2017,neo,15,0.11201859265565872
global,2000,neo,16,0.0013778844149783254
global,2001,neo,16,0.0013521790970116854
global,2002,neo,16,0.0013964634854346514
global,2003,neo,16,0.0014474621275439858
global,2004,neo,16,0.0015044762985780835
global,2005,neo,16,0.0014971926575526595
global,2006,neo,16,0.0014841777738183737
global,2007,neo,16,0.0015209983102977276
global,2008,neo,16,0.0015824934234842658
global,2009,neo,16,0.001690488657914102
global,2010,neo,16,0.0017352185677736998
global,2011,neo,16,0.0017804399831220508
global,2012,neo,16,0.0018001903081312776
global,2013,neo,16,0.001760438783094287
global,2014,neo,16,0.001710437354631722
global,2015,neo,16,0.0016571199521422386
global,2016,neo,16,0.0016320801805704832
global,2017,neo,16,0.0016060814959928393
global,2000,neo,17,0.01521896943449974
global,2001,neo,17,0.014675874263048172
global,2002,neo,17,0.014296988025307655
global,2003,neo,17,0.01392793096601963
global,2004,neo,17,0.013842280022799969
global,2005,neo,17,0.013660631142556667
global,2006,neo,17,0.013345137238502502
global,2007,neo,17,0.013150585815310478
global,2008,neo,17,0.013167843222618103
global,2009,neo,17,0.013215466402471066
global,2010,neo,17,0.01309226080775261
global,2011,neo,17,0.012979093939065933
global,2012,neo,17,0.012984202243387699
global,2013,neo,17,0.012830092571675777
global,2014,neo,17,0.012713249772787094
global,2015,neo,17,0.012746748514473438
global,2016,neo,17,0.012741219252347946
global,2017,neo,17,0.012679096311330795
global,2000,post,2,0.03853028640151024
global,2001,post,2,0.04050244390964508
global,2002,post,2,0.042295798659324646
global,2003,post,2,0.0430912971496582
global,2004,post,2,0.04477293789386749
global,2005,post,2,0.044703226536512375
global,2006,post,2,0.045366305857896805
global,2007,post,2,0.04446493461728096
global,2008,post,2,0.04150044545531273
global,2009,post,2,0.03864334151148796
global,2010,post,2,0.036739740520715714
global,2011,post,2,0.03328486904501915
global,2012,post,2,0.030819078907370567
global,2013,post,2,0.028112106025218964
global,2014,post,2,0.0270178634673357
global,2015,post,2,0.02589322254061699
global,2016,post,2,0.024852074682712555
global,2017,post,2,0.025891540572047234
global,2000,post,3,0.19350171089172363
global,2001,post,3,0.18741890788078308
global,2002,post,3,0.18280711770057678
global,2003,post,3,0.17551423609256744
global,2004,post,3,0.17450329661369324
global,2005,post,3,0.16934071481227875
global,2006,post,3,0.1705629974603653
global,2007,post,3,0.17019116878509521
global,2008,post,3,0.16534185409545898
global,2009,post,3,0.1641298234462738
global,2010,post,3,0.1615416705608368
global,2011,post,3,0.15853147208690643
global,2012,post,3,0.15797939896583557
global,2013,post,3,0.15616078674793243
global,2014,post,3,0.15431387722492218
global,2015,post,3,0.15201611816883087
global,2016,post,3,0.1492336094379425
global,2017,post,3,0.14731448888778687
global,2000,post,5,0.0002788685087580234
global,2001,post,5,0.000268088944721967
global,2002,post,5,0.0002531162172090262
global,2003,post,5,0.00023726452491246164
global,2004,post,5,0.0002281620545545593
global,2005,post,5,0.00020044336270075291
global,2006,post,5,0.00018549739615991712
global,2007,post,5,0.0001730305957607925
global,2008,post,5,0.00016271232743747532
global,2009,post,5,0.00015880237333476543
global,2010,post,5,0.0001563361583976075
global,2011,post,5,0.00015353027265518904
global,2012,post,5,0.00015471004007849842
global,2013,post,5,0.00015061833255458623
global,2014,post,5,0.00014727974485140294
global,2015,post,5,0.00014201784506440163
global,2016,post,5,0.0001414324069628492
global,2017,post,5,0.00014275644207373261
global,2000,post,6,0.08065088093280792
global,2001,post,6,0.08126894384622574
global,2002,post,6,0.07806997001171112
global,2003,post,6,0.08752992749214172
global,2004,post,6,0.06061214953660965
global,2005,post,6,0.07080169767141342
global,2006,post,6,0.04747544974088669
global,2007,post,6,0.03186136856675148
global,2008,post,6,0.03736737370491028
global,2009,post,6,0.040135886520147324
global,2010,post,6,0.03435085341334343
global,2011,post,6,0.05066294968128204
global,2012,post,6,0.03686348348855972
global,2013,post,6,0.04312341660261154
global,2014,post,6,0.04165763407945633
global,2015,post,6,0.04447184130549431
global,2016,post,6,0.04750930145382881
global,2017,post,6,0.03180688992142677
global,2000,post,7,0.047878898680210114
global,2001,post,7,0.04781348258256912
global,2002,post,7,0.047980502247810364
global,2003,post,7,0.04892932251095772
global,2004,post,7,0.048179421573877335
global,2005,post,7,0.048698969185352325
