global,year,neo16
global,2000,5504.815165644744
global,2001,5259.429350325372
global,2002,5285.497677789768
global,2003,5328.6467439037515
global,2004,5387.44193876686
global,2005,5215.41516716429
global,2006,5035.813348530559
global,2007,5030.548138140002
global,2008,5102.923010150669
global,2009,5309.426488572732
global,2010,5307.331363383681
global,2011,5296.824191127671
global,2012,5210.717853826471
global,2013,4957.9490472364705
global,2014,4687.920286995824
global,2015,4421.050502039725
global,2016,4241.545958244242
global,2017,4065.8999222915154
