global,year,rufive9
global,2000,13.464180946350098
global,2001,12.865321159362793
global,2002,12.2627534866333
global,2003,11.675941467285156
global,2004,11.139296531677246
global,2005,10.611298561096191
global,2006,10.181000709533691
global,2007,9.694355964660645
global,2008,9.200911521911621
global,2009,8.765788078308105
global,2010,8.353967666625977
global,2011,7.943741798400879
global,2012,7.507734298706055
global,2013,7.064854621887207
global,2014,6.686337471008301
global,2015,6.215421676635742
global,2016,5.988966941833496
global,2017,5.7606706619262695
