global,year,rneo7
global,2000,0.4111296236515045
global,2001,0.4084751605987549
global,2002,0.40256428718566895
global,2003,0.3979048430919647
global,2004,0.3914327323436737
global,2005,0.3809572756290436
global,2006,0.37839165329933167
global,2007,0.3721116781234741
global,2008,0.3633076846599579
global,2009,0.35318586230278015
global,2010,0.3383769094944
global,2011,0.3195979595184326
global,2012,0.30279111862182617
global,2013,0.28952544927597046
global,2014,0.27860409021377563
global,2015,0.2667906880378723
global,2016,0.25857576727867126
global,2017,0.2511473596096039
