global,year,rpost12
global,2000,0.0011726045049726963
global,2001,0.0010647251037880778
global,2002,0.0011606065090745687
global,2003,0.001353534171357751
global,2004,0.0016448003007099032
global,2005,0.0020394381135702133
global,2006,0.0023628484923392534
global,2007,0.002533606719225645
global,2008,0.0029694612603634596
global,2009,0.003181482432410121
global,2010,0.003422955982387066
global,2011,0.003552182810381055
global,2012,0.003152111079543829
global,2013,0.0030516807455569506
global,2014,0.002961501944810152
global,2015,0.002750677289441228
global,2016,0.002553604543209076
global,2017,0.0023724797647446394
