global,year,rufive12
global,2000,3.6967310905456543
global,2001,3.65956449508667
global,2002,3.6216092109680176
global,2003,3.573334217071533
global,2004,3.5247914791107178
global,2005,3.463587760925293
global,2006,3.3856523036956787
global,2007,3.32267165184021
global,2008,3.259732246398926
global,2009,3.183156967163086
global,2010,3.0775387287139893
global,2011,2.955630302429199
global,2012,2.8366894721984863
global,2013,2.734778642654419
global,2014,2.6617136001586914
global,2015,2.595461845397949
global,2016,2.548457145690918
global,2017,2.492849826812744
