region,year,neo15
5_emr,2000,39439.86353683472
6_wpr,2000,55206.72661399841
1_afr,2000,65328.06429481506
2_amr,2000,33488.57762390375
3_sear,2000,112568.2651348114
4_eur,2000,22950.804771989584
5_emr,2001,39535.731061935425
2_amr,2001,32780.727915376425
3_sear,2001,111640.59523200989
6_wpr,2001,54432.36594545841
1_afr,2001,64727.56223654747
4_eur,2001,22173.898840218782
5_emr,2002,39761.416372299194
3_sear,2002,110549.91172599792
4_eur,2002,21200.462913304567
1_afr,2002,64406.21541142464
6_wpr,2002,53445.362996041775
2_amr,2002,31951.441459089518
6_wpr,2003,51477.63691699505
4_eur,2003,20467.7485049963
3_sear,2003,109457.91262435913
1_afr,2003,64370.99069046974
5_emr,2003,40069.374546051025
2_amr,2003,31217.43876865506
4_eur,2004,19567.841609030962
5_emr,2004,40424.14360618591
6_wpr,2004,50743.63395726681
1_afr,2004,64692.382078409195
3_sear,2004,108598.76192474365
2_amr,2004,30894.100793361664
4_eur,2005,19097.512521505356
2_amr,2005,29579.8963265419
6_wpr,2005,49888.44475096464
5_emr,2005,40728.467500686646
3_sear,2005,107742.84124946594
1_afr,2005,65406.890164375305
1_afr,2006,66382.86114525795
2_amr,2006,30136.23955488205
5_emr,2006,41117.18730163574
4_eur,2006,18398.297877788544
3_sear,2006,106987.60772323608
6_wpr,2006,48190.680181860924
5_emr,2007,41661.71963119507
1_afr,2007,67808.71805071831
6_wpr,2007,45920.68658751249
2_amr,2007,29166.560817837715
3_sear,2007,106092.24517440796
4_eur,2007,17788.703163951635
5_emr,2008,42327.088470458984
6_wpr,2008,43045.050307393074
3_sear,2008,104886.23643016815
2_amr,2008,29011.438245892525
4_eur,2008,17289.398765176535
1_afr,2008,69457.30396318436
5_emr,2009,42993.22838592529
1_afr,2009,71174.54967212677
6_wpr,2009,40697.48384100199
4_eur,2009,16278.480729728937
2_amr,2009,28415.745110571384
3_sear,2009,103187.17436790466
6_wpr,2010,39060.36027479172
4_eur,2010,16433.20057860017
1_afr,2010,73029.45134735107
3_sear,2010,101497.691822052
2_amr,2010,28531.794362396
5_emr,2010,43508.867626190186
1_afr,2011,75281.55807948112
4_eur,2011,16410.31196463108
5_emr,2011,43864.04488945007
3_sear,2011,100041.08950614929
2_amr,2011,27925.24332278967
6_wpr,2011,37576.32003933191
2_amr,2012,27815.299354434013
6_wpr,2012,36033.97576832771
5_emr,2012,44052.56969642639
3_sear,2012,99172.34131145477
1_afr,2012,77433.89843511581
4_eur,2012,15426.666439920664
1_afr,2013,79426.7988524437
5_emr,2013,44248.677867889404
2_amr,2013,27136.337347626686
4_eur,2013,14951.42337501049
3_sear,2013,98870.71165084839
6_wpr,2013,34187.46385127306
2_amr,2014,26959.36274778843
5_emr,2014,44245.464544296265
3_sear,2014,99142.58419036865
4_eur,2014,14535.855015099049
1_afr,2014,81485.49649834633
6_wpr,2014,32072.727660954
2_amr,2015,26648.900337338448
4_eur,2015,13834.529313325882
6_wpr,2015,29999.07288569212
1_afr,2015,83448.47555351257
5_emr,2015,44149.082206726074
3_sear,2015,99651.05138778687
2_amr,2016,26402.676379919052
1_afr,2016,85217.52223038673
3_sear,2016,95740.53439712524
5_emr,2016,43815.698638916016
6_wpr,2016,28480.44490620494
4_eur,2016,13219.313568115234
1_afr,2017,84405.43624734879
2_amr,2017,25465.576884269714
4_eur,2017,12453.862389594316
3_sear,2017,91697.43587589264
5_emr,2017,42638.70251464844
6_wpr,2017,26921.351619899273
