global,year,fpost16
global,2000,0.05613792687654495
global,2001,0.05672213062644005
global,2002,0.057285524904727936
global,2003,0.05731876567006111
global,2004,0.05953790247440338
global,2005,0.06011581793427467
global,2006,0.06286527216434479
global,2007,0.06535981595516205
global,2008,0.0662725642323494
global,2009,0.06871123611927032
global,2010,0.07024512439966202
global,2011,0.07192520052194595
global,2012,0.07511985301971436
global,2013,0.07664894312620163
global,2014,0.07878877967596054
global,2015,0.08053964376449585
global,2016,0.08184809982776642
global,2017,0.08406107872724533
