global,year,ufive6
global,2000,482937.8844281435
global,2001,471438.26371091604
global,2002,436199.7434886694
global,2003,476801.8158465624
global,2004,311273.3755508661
global,2005,351452.65337610245
global,2006,221174.09355068207
global,2007,140120.61696058512
global,2008,159183.05101370811
global,2009,163367.09516900778
global,2010,134416.83302903175
global,2011,191073.7921167612
global,2012,131047.42491334677
global,2013,147710.1438422203
global,2014,136658.3944530487
global,2015,140345.52836835384
global,2016,144609.31999644637
global,2017,91649.6264899373
