global,year,fneo12
global,2000,0.12059617042541504
global,2001,0.12309643626213074
global,2002,0.1258387714624405
global,2003,0.12843327224254608
global,2004,0.13110965490341187
global,2005,0.13335083425045013
global,2006,0.1347508281469345
global,2007,0.13658839464187622
global,2008,0.13831350207328796
global,2009,0.139476016163826
global,2010,0.1391630917787552
global,2011,0.13797277212142944
global,2012,0.1365758627653122
global,2013,0.13568297028541565
global,2014,0.13595671951770782
global,2015,0.1363621950149536
global,2016,0.13752812147140503
global,2017,0.1381034106016159
