global,year,rneo3
global,2000,0.3165872395038605
global,2001,0.29977354407310486
global,2002,0.28404635190963745
global,2003,0.26896172761917114
global,2004,0.2535983920097351
global,2005,0.2384270578622818
global,2006,0.22223356366157532
global,2007,0.20732541382312775
global,2008,0.19278372824192047
global,2009,0.17921069264411926
global,2010,0.16773220896720886
global,2011,0.15748882293701172
global,2012,0.14853066205978394
global,2013,0.13961245119571686
global,2014,0.1303788274526596
global,2015,0.1221577376127243
global,2016,0.11710726469755173
global,2017,0.11428450793027878
