country,year,rufive16
afg,2000,4.5368523597717285
afg,2001,4.5909624099731445
afg,2002,4.6204681396484375
afg,2003,4.698018550872803
afg,2004,4.726680278778076
afg,2005,4.706340312957764
afg,2006,4.668036460876465
afg,2007,4.642339706420898
afg,2008,4.650895595550537
afg,2009,4.676395893096924
afg,2010,4.592247009277344
afg,2011,4.477347373962402
afg,2012,4.332310199737549
afg,2013,4.263256072998047
afg,2014,4.349870204925537
afg,2015,4.331603527069092
afg,2016,4.227480411529541
afg,2017,4.161201000213623
ago,2000,5.384136199951172
ago,2001,5.269712448120117
ago,2002,5.262848854064941
ago,2003,5.111661434173584
ago,2004,4.936892032623291
ago,2005,4.799532890319824
ago,2006,4.672446250915527
ago,2007,4.555215358734131
ago,2008,4.396059036254883
ago,2009,4.180732727050781
ago,2010,3.966326951980591
ago,2011,3.7200422286987305
ago,2012,3.486215353012085
ago,2013,3.2894062995910645
ago,2014,3.2300238609313965
ago,2015,3.1189210414886475
ago,2016,2.947321653366089
ago,2017,2.8002166748046875
alb,2000,2.2092530727386475
alb,2001,2.112893581390381
alb,2002,2.0065243244171143
alb,2003,1.895243525505066
alb,2004,1.7795860767364502
alb,2005,1.6627154350280762
alb,2006,1.5496898889541626
alb,2007,1.44959557056427
alb,2008,1.3447518348693848
alb,2009,1.1524851322174072
alb,2010,1.0716900825500488
alb,2011,1.005721092224121
alb,2012,0.9370224475860596
alb,2013,0.8591569066047668
alb,2014,0.7730634212493896
alb,2015,0.6885038018226624
alb,2016,0.6107186675071716
alb,2017,0.5558487176895142
and,2000,0.8904417753219604
and,2001,1.305476427078247
and,2002,1.2761204242706299
and,2003,0.8336942195892334
and,2004,0.819639265537262
and,2005,0.8102103471755981
and,2006,0.8058566451072693
and,2007,0.8055780529975891
and,2008,0.8103629350662231
and,2009,0.8207957148551941
and,2010,0.8396495580673218
and,2011,0.5754907131195068
and,2012,1.1931394338607788
and,2013,0.9298000931739807
and,2014,1.358563780784607
and,2015,0.25406503677368164
and,2016,0.5324813723564148
and,2017,0.557413637638092
are,2000,1.3925373554229736
are,2001,1.344481110572815
are,2002,1.283050298690796
are,2003,1.231665015220642
are,2004,1.1877139806747437
are,2005,1.1507474184036255
are,2006,1.1201274394989014
are,2007,1.0787001848220825
are,2008,1.053459644317627
are,2009,1.0261683464050293
are,2010,1.0078927278518677
are,2011,1.0076755285263062
are,2012,1.0178800821304321
are,2013,1.040673017501831
are,2014,1.0832669734954834
are,2015,1.1320546865463257
are,2016,1.1813794374465942
are,2017,1.2040011882781982
arg,2000,1.9381530284881592
arg,2001,1.7400394678115845
arg,2002,1.668515920639038
arg,2003,1.5780370235443115
arg,2004,1.674309492111206
arg,2005,1.8040177822113037
arg,2006,1.7639352083206177
arg,2007,1.9192975759506226
arg,2008,1.7987663745880127
arg,2009,1.6100735664367676
arg,2010,1.6076641082763672
arg,2011,1.5568337440490723
arg,2012,1.5439257621765137
arg,2013,1.2604018449783325
arg,2014,1.1732605695724487
arg,2015,1.1626062393188477
arg,2016,1.2012879848480225
arg,2017,1.109900951385498
arm,2000,1.6746084690093994
arm,2001,1.6450320482254028
arm,2002,1.6188369989395142
arm,2003,1.5987532138824463
arm,2004,1.59909188747406
arm,2005,1.5868066549301147
arm,2006,1.5668954849243164
arm,2007,1.5487984418869019
arm,2008,1.5145094394683838
arm,2009,1.4798593521118164
arm,2010,1.3753212690353394
arm,2011,1.3124778270721436
arm,2012,1.291306734085083
arm,2013,1.2814359664916992
arm,2014,1.2610440254211426
arm,2015,1.2259225845336914
arm,2016,1.1924892663955688
arm,2017,1.144937515258789
atg,2000,2.770853042602539
atg,2001,2.6167006492614746
atg,2002,1.009598970413208
atg,2003,1.2738981246948242
atg,2004,1.0094822645187378
atg,2005,1.4802271127700806
atg,2006,1.725821852684021
atg,2007,1.9563724994659424
atg,2008,1.9109188318252563
atg,2009,1.9861400127410889
atg,2010,1.47964346408844
atg,2011,2.2672383785247803
atg,2012,2.0862252712249756
atg,2013,2.1864192485809326
atg,2014,1.6008661985397339
atg,2015,2.031195640563965
atg,2016,2.106053113937378
atg,2017,2.5397677421569824
aus,2000,0.7279984951019287
aus,2001,0.7365163564682007
aus,2002,0.9205198287963867
aus,2003,0.8944973945617676
aus,2004,0.9391126036643982
aus,2005,0.8336552381515503
aus,2006,0.9459930062294006
aus,2007,0.8733852505683899
aus,2008,0.8982601165771484
aus,2009,0.7051210999488831
aus,2010,0.7070887684822083
aus,2011,0.7067023515701294
aus,2012,0.7634018063545227
aus,2013,0.6250260472297668
aus,2014,0.5534532070159912
aus,2015,0.6309621334075928
aus,2016,0.5450550317764282
aus,2017,0.5230274200439453
aut,2000,0.6581045389175415
aut,2001,0.5765404105186462
aut,2002,0.5801540613174438
aut,2003,0.3657284080982208
aut,2004,0.44913363456726074
aut,2005,0.4922557771205902
aut,2006,0.5654712319374084
aut,2007,0.6298463344573975
aut,2008,0.5720753073692322
aut,2009,0.5283336639404297
aut,2010,0.4260539412498474
aut,2011,0.605606734752655
aut,2012,0.5083203911781311
aut,2013,0.499900221824646
aut,2014,0.5108647346496582
aut,2015,0.43641147017478943
aut,2016,0.4146597683429718
aut,2017,0.5331610441207886
aze,2000,6.531811714172363
aze,2001,5.97534704208374
aze,2002,5.434840202331543
aze,2003,5.052603244781494
aze,2004,4.735459804534912
aze,2005,4.403212070465088
aze,2006,4.1067352294921875
aze,2007,3.8957998752593994
aze,2008,3.5826210975646973
aze,2009,3.3474504947662354
aze,2010,3.1669464111328125
aze,2011,3.0976874828338623
aze,2012,3.050771713256836
aze,2013,2.9770476818084717
aze,2014,3.052103281021118
aze,2015,2.985168218612671
aze,2016,2.8364715576171875
aze,2017,2.738088607788086
bdi,2000,3.192042589187622
bdi,2001,3.2180991172790527
bdi,2002,3.222222089767456
bdi,2003,3.5010111331939697
bdi,2004,3.731487274169922
bdi,2005,3.8073339462280273
bdi,2006,3.974982261657715
bdi,2007,3.924551010131836
bdi,2008,3.8275723457336426
bdi,2009,3.707963705062866
bdi,2010,3.606283187866211
bdi,2011,3.5539021492004395
bdi,2012,3.7566633224487305
bdi,2013,3.5739126205444336
bdi,2014,3.4798152446746826
bdi,2015,3.309605836868286
bdi,2016,3.154381513595581
bdi,2017,3.0248184204101562
bel,2000,0.9179269671440125
bel,2001,0.7988962531089783
bel,2002,0.9599648118019104
bel,2003,0.7881382703781128
bel,2004,0.6959711909294128
bel,2005,0.796257495880127
bel,2006,0.7667886018753052
bel,2007,0.644880473613739
bel,2008,0.7204945087432861
bel,2009,0.7706218361854553
bel,2010,0.8713279962539673
