country,year,post11
afg,2000,628.3843482410274
afg,2001,638.9938227806365
afg,2002,642.1358171588415
afg,2003,672.2326475861881
afg,2004,681.3283142149904
afg,2005,672.3617650657251
afg,2006,656.4246289698342
afg,2007,641.4939985268322
afg,2008,626.8220743779972
afg,2009,613.4419886442537
afg,2010,567.0447363993802
afg,2011,534.5397205392868
afg,2012,511.7092300964468
afg,2013,526.2721175340278
afg,2014,540.6922307222445
afg,2015,540.2936906738477
afg,2016,525.0745674470745
afg,2017,502.7734221132109
ago,2000,2019.7417028589507
ago,2001,2007.8787904843693
ago,2002,2076.37190601377
ago,2003,2084.5753697696164
ago,2004,2078.58158954499
ago,2005,2067.572711388439
ago,2006,2061.4558827772603
ago,2007,2059.617590135167
ago,2008,2036.5854200991516
ago,2009,1978.3771669509715
ago,2010,1907.6880312118778
ago,2011,1818.12378463906
ago,2012,1736.583849403008
ago,2013,1670.6428466767202
ago,2014,1671.4080307830102
ago,2015,1655.9304753597396
ago,2016,1604.6644462323695
ago,2017,1564.5277399689885
alb,2000,4.3361549965574095
alb,2001,3.900481739800032
alb,2002,3.5206293961176502
alb,2003,3.037640348362462
alb,2004,2.648572198933506
alb,2005,2.331064826923366
alb,2006,2.0406214404821235
alb,2007,1.7968761201932013
alb,2008,1.5778926878382258
alb,2009,2.1576766196687087
alb,2010,1.9493819282796077
alb,2011,1.8061870550154637
alb,2012,1.6961606426936662
alb,2013,1.7815811001072692
alb,2014,1.827587480623957
alb,2015,1.6724587314020152
alb,2016,1.5083121190930537
alb,2017,1.3680660146732948
and,2000,0.0
and,2001,0.0
and,2002,0.0
and,2003,0.0
and,2004,0.0
and,2005,0.0
and,2006,0.0
and,2007,0.0
and,2008,0.0
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,5.196216607184384
are,2001,5.219009501999272
are,2002,5.349187281624369
are,2003,5.482503560769436
are,2004,5.656237129991611
are,2005,5.92590513386364
are,2006,6.119879982441052
