global,year,neo5
global,2000,170829.05319446698
global,2001,151891.07663501427
global,2002,134126.17863494158
global,2003,117525.1634060219
global,2004,102151.51406391338
global,2005,89877.48603915423
global,2006,80017.6233533267
global,2007,71722.79512433521
global,2008,64198.97117320262
global,2009,57825.08971905336
global,2010,53108.939038610086
global,2011,49571.50765743852
global,2012,46037.37952594459
global,2013,41995.652032699436
global,2014,37743.20139686391
global,2015,33869.498131977394
global,2016,31378.83880366385
global,2017,30847.73175762687
