region,year,neo17
5_emr,2000,8840.079233676195
6_wpr,2000,24997.28145255521
1_afr,2000,9985.509018704295
2_amr,2000,1824.5923364162445
3_sear,2000,14319.74078321457
4_eur,2000,834.4233443057165
5_emr,2001,8855.976557344198
2_amr,2001,1792.0852160453796
3_sear,2001,13947.78630721569
6_wpr,2001,21616.143433254212
1_afr,2001,10068.502668306231
4_eur,2001,802.719410339836
5_emr,2002,8889.69371676445
3_sear,2002,13528.021112918854
4_eur,2002,750.1212416775525
1_afr,2002,10127.646958425641
6_wpr,2002,19037.204469427466
2_amr,2002,1780.2185934185982
6_wpr,2003,16772.5071753487
4_eur,2003,719.9553886740468
3_sear,2003,13083.441103219986
1_afr,2003,10135.441927418113
5_emr,2003,8913.964570313692
2_amr,2003,1648.5866137444973
4_eur,2004,975.487215119414
5_emr,2004,8938.330426752567
6_wpr,2004,15187.363770026714
1_afr,2004,10100.094650119543
3_sear,2004,12632.102029561996
2_amr,2004,1735.0203141868114
4_eur,2005,945.4365101759322
2_amr,2005,1516.9448678344488
6_wpr,2005,13934.590173572302
5_emr,2005,8955.331170380116
3_sear,2005,12223.94681251049
1_afr,2005,10010.05543640256
1_afr,2006,10085.334604278207
2_amr,2006,1509.6236833184958
5_emr,2006,9014.144830733538
4_eur,2006,633.0487765497528
3_sear,2006,11818.772543728352
6_wpr,2006,12219.109240673482
5_emr,2007,9125.511490523815
1_afr,2007,10175.854778528214
6_wpr,2007,10837.19271896407
2_amr,2007,1347.287474527955
3_sear,2007,11405.143838226795
4_eur,2007,603.2418169919401
5_emr,2008,9307.7393476367
6_wpr,2008,10045.358672035858
3_sear,2008,10943.592717707157
2_amr,2008,1337.1649924516678
4_eur,2008,580.2034243773669
1_afr,2008,10247.088935226202
5_emr,2009,9478.592315256596
1_afr,2009,10312.208531945944
6_wpr,2009,9071.182124381885
4_eur,2009,824.3228331748396
2_amr,2009,1379.820729881525
3_sear,2009,10440.540370345116
6_wpr,2010,8087.548313874751
4_eur,2010,835.4476600438356
1_afr,2010,10368.74954302609
3_sear,2010,9915.330187737942
2_amr,2010,1286.591149583459
5_emr,2010,9550.259087562561
1_afr,2011,10439.859162643552
4_eur,2011,781.1007190272212
5_emr,2011,9494.568245947361
3_sear,2011,9372.046870827675
2_amr,2011,1330.1373918354511
6_wpr,2011,7195.203571571037
2_amr,2012,1302.0783197432756
6_wpr,2012,6825.296822223812
5_emr,2012,9416.701030254364
3_sear,2012,8858.41409432888
1_afr,2012,10423.269137822092
4_eur,2012,757.4969963748008
1_afr,2013,10291.28473187238
5_emr,2013,9274.980124890804
2_amr,2013,1334.838393971324
4_eur,2013,720.575253196992
3_sear,2013,8270.38018155098
6_wpr,2013,6241.516721824184
2_amr,2014,1220.2989994734526
5_emr,2014,9155.491563141346
3_sear,2014,7740.365710765123
4_eur,2014,670.8857617340982
1_afr,2014,10270.209170639515
6_wpr,2014,5786.878545667976
2_amr,2015,1229.9823260903358
4_eur,2015,634.1095657767728
6_wpr,2015,5577.017151476815
1_afr,2015,10263.135518066585
5_emr,2015,9046.586738824844
3_sear,2015,7256.374704122543
2_amr,2016,1232.9145020246506
1_afr,2016,10268.121057972312
3_sear,2016,6940.029657751322
5_emr,2016,8916.236831128597
6_wpr,2016,5155.756369666196
4_eur,2016,599.5696719773114
1_afr,2017,10193.316385187209
2_amr,2017,1193.496378749609
4_eur,2017,565.766834215261
3_sear,2017,6654.61187466979
5_emr,2017,8713.086324632168
6_wpr,2017,4777.681577645242
