global,year,rneo12
global,2000,3.695558547973633
global,2001,3.6584999561309814
global,2002,3.620448589324951
global,2003,3.5719807147979736
global,2004,3.523146629333496
global,2005,3.461548328399658
global,2006,3.3832895755767822
global,2007,3.3201382160186768
global,2008,3.256762742996216
global,2009,3.1799752712249756
global,2010,3.074115753173828
global,2011,2.952078104019165
global,2012,2.8335375785827637
global,2013,2.731726884841919
global,2014,2.658752202987671
global,2015,2.5927112102508545
global,2016,2.545903444290161
global,2017,2.4904775619506836
