global,year,fufive16
global,2000,0.03422364965081215
global,2001,0.03449774906039238
global,2002,0.03471502661705017
global,2003,0.03478722646832466
global,2004,0.03569624200463295
global,2005,0.03594309464097023
global,2006,0.03699919581413269
global,2007,0.037957560271024704
global,2008,0.03840181604027748
global,2009,0.039520688354969025
global,2010,0.040188536047935486
global,2011,0.04099331796169281
global,2012,0.04221384599804878
global,2013,0.04285801202058792
global,2014,0.043704207986593246
global,2015,0.044402796775102615
global,2016,0.044902801513671875
global,2017,0.045498356223106384
