global,year,post11
global,2000,70911.02398550863
global,2001,69982.41902302863
global,2002,68982.85600125053
global,2003,67809.09315342607
global,2004,66939.24736441339
global,2005,66059.1273200782
global,2006,65707.11186601069
global,2007,64893.67796183975
global,2008,64069.29684556956
global,2009,63668.41617565912
global,2010,63298.44733374748
global,2011,62922.86128155291
global,2012,62186.41199956323
global,2013,62600.47698469556
global,2014,63524.8261903077
global,2015,63435.08267479493
global,2016,62849.027106503985
global,2017,61237.82654970655
