global,year,fpost8
global,2000,0.10959821194410324
global,2001,0.11324379593133926
global,2002,0.11734367907047272
global,2003,0.11883340030908585
global,2004,0.12477515637874603
global,2005,0.12389693409204483
global,2006,0.1267513483762741
global,2007,0.12595653533935547
global,2008,0.11933010816574097
global,2009,0.11685124039649963
global,2010,0.11269507557153702
global,2011,0.10664398223161697
global,2012,0.10389341413974762
global,2013,0.09985984861850739
global,2014,0.09727273136377335
global,2015,0.09451664239168167
global,2016,0.0916091576218605
global,2017,0.09133604913949966
