global,year,fpost5
global,2000,0.0002788685087580234
global,2001,0.000268088944721967
global,2002,0.0002531162172090262
global,2003,0.00023726452491246164
global,2004,0.0002281620545545593
global,2005,0.00020044336270075291
global,2006,0.00018549739615991712
global,2007,0.0001730305957607925
global,2008,0.00016271232743747532
global,2009,0.00015880237333476543
global,2010,0.0001563361583976075
global,2011,0.00015353027265518904
global,2012,0.00015471004007849842
global,2013,0.00015061833255458623
global,2014,0.00014727974485140294
global,2015,0.00014201784506440163
global,2016,0.0001414324069628492
global,2017,0.00014275644207373261
