global,year,age_group,cause,death_rate
global,2014,neo,11,4.719566345214844
global,2015,neo,11,4.569586753845215
global,2016,neo,11,4.449169158935547
global,2017,neo,11,4.34719705581665
global,2000,neo,12,3.695558547973633
global,2001,neo,12,3.6584999561309814
global,2002,neo,12,3.620448589324951
global,2003,neo,12,3.5719807147979736
global,2004,neo,12,3.523146629333496
global,2005,neo,12,3.461548328399658
global,2006,neo,12,3.3832895755767822
global,2007,neo,12,3.3201382160186768
global,2008,neo,12,3.256762742996216
global,2009,neo,12,3.1799752712249756
global,2010,neo,12,3.074115753173828
global,2011,neo,12,2.952078104019165
global,2012,neo,12,2.8335375785827637
global,2013,neo,12,2.731726884841919
global,2014,neo,12,2.658752202987671
global,2015,neo,12,2.5927112102508545
global,2016,neo,12,2.545903444290161
global,2017,neo,12,2.4904775619506836
global,2000,neo,13,1.7991416454315186
global,2001,neo,13,1.7494040727615356
global,2002,neo,13,1.6971750259399414
global,2003,neo,13,1.6382982730865479
global,2004,neo,13,1.570131778717041
global,2005,neo,13,1.5005306005477905
global,2006,neo,13,1.4398411512374878
global,2007,neo,13,1.3773359060287476
global,2008,neo,13,1.324737548828125
global,2009,neo,13,1.2713651657104492
global,2010,neo,13,1.2149230241775513
global,2011,neo,13,1.1627205610275269
global,2012,neo,13,1.1173782348632812
global,2013,neo,13,1.0802909135818481
global,2014,neo,13,1.05336594581604
global,2015,neo,13,1.0244466066360474
global,2016,neo,13,0.9982398748397827
global,2017,neo,13,0.9670285582542419
global,2000,neo,15,2.5234177112579346
global,2001,neo,15,2.4855644702911377
global,2002,neo,15,2.4424312114715576
global,2003,neo,15,2.395326852798462
global,2004,neo,15,2.3631985187530518
global,2005,neo,15,2.3282828330993652
global,2006,neo,15,2.302934408187866
global,2007,neo,15,2.266859292984009
global,2008,neo,15,2.234546184539795
global,2009,neo,15,2.1976993083953857
global,2010,neo,15,2.1815710067749023
global,2011,neo,15,2.1654837131500244
global,2012,neo,15,2.14982271194458
global,2013,neo,15,2.136202812194824
global,2014,neo,15,2.129429817199707
global,2015,neo,15,2.1218411922454834
global,2016,neo,15,2.0861802101135254
global,2017,neo,15,2.0200788974761963
global,2000,neo,16,0.04222399741411209
global,2001,neo,16,0.040187571197748184
global,2002,neo,16,0.04017699882388115
global,2003,neo,16,0.04025675356388092
global,2004,neo,16,0.04042791947722435
global,2005,neo,16,0.03886443376541138
global,2006,neo,16,0.03726435825228691
global,2007,neo,16,0.036971841007471085
global,2008,neo,16,0.03726176917552948
global,2009,neo,16,0.03854219987988472
global,2010,neo,16,0.03833101689815521
global,2011,neo,16,0.03809445723891258
global,2012,neo,16,0.03734852001070976
global,2013,neo,16,0.03544319421052933
global,2014,neo,16,0.033449091017246246
global,2015,neo,16,0.03150751069188118
global,2016,neo,16,0.03021286614239216
global,2017,neo,16,0.028963150456547737
global,2000,neo,17,0.4663712978363037
global,2001,neo,17,0.43617579340934753
global,2002,neo,17,0.41133198142051697
global,2003,neo,17,0.3873630166053772
global,2004,neo,17,0.3719663619995117
global,2005,neo,17,0.354605495929718
global,2006,neo,17,0.3350663185119629
global,2007,neo,17,0.31965938210487366
global,2008,neo,17,0.31005316972732544
global,2009,neo,17,0.30130529403686523
global,2010,neo,17,0.289208322763443
global,2011,neo,17,0.27770188450813293
global,2012,neo,17,0.269383043050766
global,2013,neo,17,0.2583102881908417
global,2014,neo,17,0.24861866235733032
global,2015,neo,17,0.2423592507839203
global,2016,neo,17,0.23586386442184448
global,2017,neo,17,0.22864754498004913
global,2000,post,2,1.7697055339813232
global,2001,post,2,1.7952898740768433
global,2002,post,2,1.7963470220565796
global,2003,post,2,1.7733429670333862
global,2004,post,2,1.725427269935608
global,2005,post,2,1.653581142425537
global,2006,post,2,1.5639492273330688
global,2007,post,2,1.4371795654296875
global,2008,post,2,1.2909263372421265
global,2009,post,2,1.14181387424469
global,2010,post,2,1.0383083820343018
global,2011,post,2,0.9028253555297852
global,2012,post,2,0.7852856516838074
global,2013,post,2,0.6883690357208252
global,2014,post,2,0.6324071884155273
global,2015,post,2,0.5823555588722229
global,2016,post,2,0.5388253331184387
global,2017,post,2,0.5314427018165588
global,2000,post,3,8.887580871582031
global,2001,post,3,8.3074312210083
global,2002,post,3,7.764010429382324
global,2003,post,3,7.222965240478516
global,2004,post,3,6.724882125854492
global,2005,post,3,6.263946533203125
global,2006,post,3,5.879955291748047
global,2007,post,3,5.500858306884766
global,2008,post,3,5.143177509307861
global,2009,post,3,4.8496246337890625
global,2010,post,3,4.5653581619262695
global,2011,post,3,4.300038814544678
global,2012,post,3,4.025394439697266
global,2013,post,3,3.8238420486450195
global,2014,post,3,3.612025260925293
global,2015,post,3,3.4189419746398926
global,2016,post,3,3.235579013824463
global,2017,post,3,3.0237371921539307
global,2000,post,5,0.012808498926460743
global,2001,post,5,0.01188316848129034
global,2002,post,5,0.010750112123787403
global,2003,post,5,0.00976418424397707
global,2004,post,5,0.00879274494946003
global,2005,post,5,0.0074144396930933
global,2006,post,5,0.00639480073004961
global,2007,post,5,0.005592633038759232
global,2008,post,5,0.005061382427811623
global,2009,post,5,0.004692211747169495
global,2010,post,5,0.004418244119733572
global,2011,post,5,0.0041643851436674595
global,2012,post,5,0.00394208962097764
global,2013,post,5,0.003688126103952527
global,2014,post,5,0.0034473773557692766
global,2015,post,5,0.0031940743792802095
global,2016,post,5,0.0030664389487355947
global,2017,post,5,0.0029301801696419716
global,2000,post,6,3.704314708709717
global,2001,post,6,3.6022841930389404
global,2002,post,6,3.31571364402771
global,2003,post,6,3.60213303565979
global,2004,post,6,2.335827350616455
global,2005,post,6,2.6189687252044678
global,2006,post,6,1.6366592645645142
global,2007,post,6,1.0298117399215698
global,2008,post,6,1.162361741065979
global,2009,post,6,1.1859147548675537
global,2010,post,6,0.9707956314086914
global,2011,post,6,1.3741918802261353
global,2012,post,6,0.9393000602722168
global,2013,post,6,1.055944561958313
global,2014,post,6,0.9750804305076599
global,2015,post,6,1.000200867652893
global,2016,post,6,1.0300636291503906
global,2017,post,6,0.652859628200531
global,2000,post,7,2.199089527130127
global,2001,post,7,2.1193549633026123
global,2002,post,7,2.0377824306488037
global,2003,post,7,2.0135960578918457
global,2004,post,7,1.8567038774490356
global,2005,post,7,1.801384449005127
global,2006,post,7,1.534498929977417
global,2007,post,7,1.4486876726150513
global,2008,post,7,1.4736822843551636
global,2009,post,7,1.2822152376174927
global,2010,post,7,1.116902470588684
global,2011,post,7,1.0358915328979492
global,2012,post,7,1.061295986175537
global,2013,post,7,0.934178352355957
global,2014,post,7,0.7762660980224609
global,2015,post,7,0.7487503886222839
