global,year,fpost9
global,2000,0.2417922168970108
global,2001,0.2396174818277359
global,2002,0.23845669627189636
global,2003,0.23428358137607574
global,2004,0.23890474438667297
global,2005,0.23747071623802185
global,2006,0.24518920481204987
global,2007,0.24927116930484772
global,2008,0.2456192970275879
global,2009,0.2462739199399948
global,2010,0.24524737894535065
global,2011,0.24254009127616882
global,2012,0.2433076649904251
global,2013,0.23730066418647766
global,2014,0.2341296225786209
global,2015,0.2246813178062439
global,2016,0.22405903041362762
global,2017,0.2267770916223526
