global,year,fneo9
global,2000,0.07696772366762161
global,2001,0.075508713722229
global,2002,0.07421645522117615
global,2003,0.07314953953027725
global,2004,0.0719178095459938
global,2005,0.07039045542478561
global,2006,0.06883914768695831
global,2007,0.06736584007740021
global,2008,0.06627799570560455
global,2009,0.06530910730361938
global,2010,0.06441764533519745
global,2011,0.06379841268062592
global,2012,0.06305168569087982
global,2013,0.06229400634765625
global,2014,0.06167275831103325
global,2015,0.061124805361032486
global,2016,0.06109996512532234
global,2017,0.061325326561927795
