global,year,ufive8
global,2000,656274.6387091875
global,2001,656923.2049560547
global,2002,655633.4560546875
global,2003,647321.2582244873
global,2004,640782.1620929241
global,2005,615012.1894448996
global,2006,590497.1068495512
global,2007,553934.3884658813
global,2008,508339.9944229126
global,2009,475625.41846740246
global,2010,440982.2306959629
global,2011,402204.5566506386
global,2012,369334.74178791046
global,2013,342048.8006373644
global,2014,319104.4235877991
global,2015,298278.3643798828
global,2016,278840.92762205005
global,2017,263179.27341872454
