global,year,rneo5
global,2000,1.3103229999542236
global,2001,1.1606075763702393
global,2002,1.0195420980453491
global,2003,0.8878767490386963
global,2004,0.7665554881095886
global,2005,0.6697525978088379
global,2006,0.5921199321746826
global,2007,0.5271242260932922
global,2008,0.46878373622894287
global,2009,0.4197640120983124
global,2010,0.3835674822330475
global,2011,0.35651546716690063
global,2012,0.3299791216850281
global,2013,0.3002168834209442
global,2014,0.2693040370941162
global,2015,0.2413778454065323
global,2016,0.22351394593715668
global,2017,0.21974162757396698
