global,year,rufive10
global,2000,10.491711616516113
global,2001,10.237055778503418
global,2002,9.965373039245605
global,2003,9.700495719909668
global,2004,9.441197395324707
global,2005,9.206571578979492
global,2006,8.977356910705566
global,2007,8.767894744873047
global,2008,8.549811363220215
global,2009,8.345723152160645
global,2010,8.182958602905273
global,2011,8.017956733703613
global,2012,7.8587846755981445
global,2013,7.689080715179443
global,2014,7.490530014038086
global,2015,7.289444446563721
global,2016,7.069586753845215
global,2017,6.869594573974609
