global,year,rneo17
global,2000,0.4663712978363037
global,2001,0.43617579340934753
global,2002,0.41133198142051697
global,2003,0.3873630166053772
global,2004,0.3719663619995117
global,2005,0.354605495929718
global,2006,0.3350663185119629
global,2007,0.31965938210487366
global,2008,0.31005316972732544
global,2009,0.30130529403686523
global,2010,0.289208322763443
global,2011,0.27770188450813293
global,2012,0.269383043050766
global,2013,0.2583102881908417
global,2014,0.24861866235733032
global,2015,0.2423592507839203
global,2016,0.23586386442184448
global,2017,0.22864754498004913
