global,year,rpost8
global,2000,5.033872604370117
global,2001,5.0195841789245605
global,2002,4.983709335327148
global,2003,4.890369892120361
global,2004,4.808495044708252
global,2005,4.582972049713135
global,2006,4.369601249694824
global,2007,4.071121692657471
global,2008,3.711921215057373
global,2009,3.4526610374450684
global,2010,3.1848959922790527
global,2011,2.892632246017456
global,2012,2.64725661277771
global,2013,2.445225238800049
global,2014,2.2768630981445312
global,2015,2.1257412433624268
global,2016,1.9862059354782104
global,2017,1.8747389316558838
