region,year,rufive16
5_emr,2000,3.195399761199951
6_wpr,2000,1.8272058963775635
1_afr,2000,3.359740972518921
2_amr,2000,2.0260777473449707
3_sear,2000,2.7550199031829834
4_eur,2000,2.095684766769409
5_emr,2001,3.117037534713745
2_amr,2001,2.006274700164795
3_sear,2001,2.6836841106414795
6_wpr,2001,1.7655569314956665
1_afr,2001,3.272773265838623
4_eur,2001,1.9794706106185913
5_emr,2002,3.021521806716919
3_sear,2002,2.6030571460723877
4_eur,2002,1.898017168045044
1_afr,2002,3.1900627613067627
6_wpr,2002,1.7032662630081177
2_amr,2002,1.8782907724380493
6_wpr,2003,1.6587365865707397
4_eur,2003,1.7839546203613281
3_sear,2003,2.5302062034606934
1_afr,2003,3.0801939964294434
5_emr,2003,2.966891050338745
2_amr,2003,1.8026372194290161
4_eur,2004,1.734037160873413
5_emr,2004,2.9247334003448486
6_wpr,2004,1.5987659692764282
1_afr,2004,2.9989848136901855
3_sear,2004,2.454432249069214
2_amr,2004,1.736882209777832
4_eur,2005,1.6420550346374512
2_amr,2005,1.6893616914749146
6_wpr,2005,1.499497652053833
5_emr,2005,2.8669474124908447
3_sear,2005,2.380237102508545
1_afr,2005,2.924177408218384
1_afr,2006,2.9041435718536377
2_amr,2006,1.619099497795105
5_emr,2006,2.82444167137146
4_eur,2006,1.5731432437896729
3_sear,2006,2.295602560043335
6_wpr,2006,1.4229300022125244
5_emr,2007,2.7790236473083496
1_afr,2007,2.871518611907959
6_wpr,2007,1.3236557245254517
2_amr,2007,1.658276915550232
3_sear,2007,2.205559730529785
4_eur,2007,1.4914543628692627
5_emr,2008,2.755997657775879
6_wpr,2008,1.2603633403778076
3_sear,2008,2.1169865131378174
2_amr,2008,1.6483211517333984
4_eur,2008,1.4286515712738037
1_afr,2008,2.8335394859313965
5_emr,2009,2.7236955165863037
1_afr,2009,2.83771014213562
6_wpr,2009,1.2339125871658325
4_eur,2009,1.484684944152832
2_amr,2009,1.5993971824645996
3_sear,2009,2.0269935131073
6_wpr,2010,1.2117714881896973
4_eur,2010,1.3816025257110596
1_afr,2010,2.8313381671905518
3_sear,2010,1.9290921688079834
2_amr,2010,1.5687000751495361
5_emr,2010,2.6798927783966064
1_afr,2011,2.827282190322876
4_eur,2011,1.3334511518478394
5_emr,2011,2.668318271636963
3_sear,2011,1.8426191806793213
2_amr,2011,1.4594812393188477
6_wpr,2011,1.2270230054855347
2_amr,2012,1.4504592418670654
6_wpr,2012,1.2078361511230469
5_emr,2012,2.653499126434326
3_sear,2012,1.7418980598449707
1_afr,2012,2.7912521362304688
4_eur,2012,1.3272310495376587
1_afr,2013,2.787052869796753
5_emr,2013,2.7366504669189453
2_amr,2013,1.3968815803527832
4_eur,2013,1.2014429569244385
3_sear,2013,1.6436231136322021
6_wpr,2013,1.1437976360321045
2_amr,2014,1.3388104438781738
5_emr,2014,2.7319350242614746
3_sear,2014,1.5541865825653076
4_eur,2014,1.1423155069351196
1_afr,2014,2.8001949787139893
6_wpr,2014,1.0965102910995483
2_amr,2015,1.3082257509231567
4_eur,2015,1.0743536949157715
6_wpr,2015,1.0622291564941406
1_afr,2015,2.7733676433563232
5_emr,2015,2.6892623901367188
3_sear,2015,1.5026061534881592
2_amr,2016,1.3050426244735718
1_afr,2016,2.7459378242492676
3_sear,2016,1.4168579578399658
5_emr,2016,2.6624627113342285
6_wpr,2016,1.0146658420562744
4_eur,2016,1.0428745746612549
1_afr,2017,2.662628412246704
2_amr,2017,1.2578401565551758
4_eur,2017,1.005185604095459
3_sear,2017,1.3439793586730957
5_emr,2017,2.6485798358917236
6_wpr,2017,0.9821561574935913
