global,year,fufive13
global,2000,0.0801582857966423
global,2001,0.08011557161808014
global,2002,0.08024246245622635
global,2003,0.079609215259552
global,2004,0.08041620999574661
global,2005,0.08007337898015976
global,2006,0.08170826733112335
global,2007,0.08304797857999802
global,2008,0.08339295536279678
global,2009,0.08489163964986801
global,2010,0.08611444383859634
global,2011,0.0870278850197792
global,2012,0.08867529779672623
global,2013,0.09078005701303482
global,2014,0.09343308210372925
global,2015,0.09527917206287384
global,2016,0.09674178063869476
global,2017,0.09790430217981339
