global,year,post9
global,2000,1447852.9971697468
global,2001,1390012.500186556
global,2002,1332327.3146550367
global,2003,1276213.0917317686
global,2004,1226894.0412380355
global,2005,1178781.2912963391
global,2006,1142264.096843744
global,2007,1096250.1734146327
global,2008,1046325.3039733085
global,2009,1002420.975383016
global,2010,959666.9000872127
global,2011,914732.6592753532
global,2012,864943.885822821
global,2013,812823.2730292123
global,2014,768065.1880897433
global,2015,709055.8568031918
global,2016,681993.249297098
global,2017,653444.4098293089
