global,year,post13
global,2000,565673.1266948938
global,2001,547416.6638145108
global,2002,528776.7513037274
global,2003,509870.5977997418
global,2004,491706.3579157961
global,2005,475045.2473443668
global,2006,463314.1674894312
global,2007,452496.72051621834
global,2008,442739.2152582416
global,2009,437024.90865561477
global,2010,432141.08160149795
global,2011,425461.8519085337
global,2012,416017.0264051778
global,2013,415497.2611704905
global,2014,414957.0539671338
global,2015,411133.5953797669
global,2016,405740.2390689293
global,2017,394203.18380395893
