global,year,rpost7
global,2000,2.199089527130127
global,2001,2.1193549633026123
global,2002,2.0377824306488037
global,2003,2.0135960578918457
global,2004,1.8567038774490356
global,2005,1.801384449005127
global,2006,1.534498929977417
global,2007,1.4486876726150513
global,2008,1.4736822843551636
global,2009,1.2822152376174927
global,2010,1.116902470588684
global,2011,1.0358915328979492
global,2012,1.061295986175537
global,2013,0.934178352355957
global,2014,0.7762660980224609
global,2015,0.7487503886222839
global,2016,0.6460108160972595
global,2017,0.6733276844024658
