global,year,rufive5
global,2000,1.3231314420700073
global,2001,1.1724907159805298
global,2002,1.0302921533584595
global,2003,0.8976409435272217
global,2004,0.7753481864929199
global,2005,0.6771669983863831
global,2006,0.5985147356987
global,2007,0.5327168703079224
global,2008,0.47384512424468994
global,2009,0.42445623874664307
global,2010,0.3879857063293457
global,2011,0.36067983508110046
global,2012,0.3339211940765381
global,2013,0.30390501022338867
global,2014,0.27275142073631287
global,2015,0.24457192420959473
global,2016,0.22658038139343262
global,2017,0.22267180681228638
