region,year,neo16
5_emr,2000,673.9253379404545
6_wpr,2000,1909.9997418399435
1_afr,2000,687.3308736085892
2_amr,2000,684.1473796963692
3_sear,2000,1187.728038199246
4_eur,2000,361.6837943601422
5_emr,2001,683.3729664087296
2_amr,2001,634.7609629631042
3_sear,2001,1192.4191670194268
6_wpr,2001,1688.750097444281
1_afr,2001,707.5949659049511
4_eur,2001,352.53119058487937
5_emr,2002,695.9004313349724
3_sear,2002,1192.242887608707
4_eur,2002,347.995850299485
1_afr,2002,727.165000738576
6_wpr,2002,1683.661501007853
2_amr,2002,638.5320068001747
6_wpr,2003,1741.8354443104472
4_eur,2003,317.80306580581237
3_sear,2003,1187.9983357414603
1_afr,2003,744.2606006357819
5_emr,2003,701.1105097532272
2_amr,2003,635.6387876570225
4_eur,2004,476.10949900199194
5_emr,2004,706.5824099779129
6_wpr,2004,1730.4015669017099
1_afr,2004,756.8821376692504
3_sear,2004,1181.7428666874766
2_amr,2004,535.7234585285187
4_eur,2005,475.4792906038929
2_amr,2005,485.9960055798292
6_wpr,2005,1600.467875651084
5_emr,2005,713.9981208443642
3_sear,2005,1170.9907120838761
1_afr,2005,768.483162401244
1_afr,2006,804.3492615707219
2_amr,2006,510.4136792868376
5_emr,2006,717.7380708456039
4_eur,2006,288.83179129008204
3_sear,2006,1150.747346535325
6_wpr,2006,1563.7331990019884
5_emr,2007,729.2219354212284
1_afr,2007,806.1551510132849
6_wpr,2007,1533.2745694236364
2_amr,2007,537.1205880045891
3_sear,2007,1126.5622851774096
4_eur,2007,298.2136090998538
5_emr,2008,743.1710198521614
6_wpr,2008,1599.827339201467
3_sear,2008,1097.8048660829663
2_amr,2008,542.7120099961758
4_eur,2008,276.31585061131045
1_afr,2008,843.0919244065881
5_emr,2009,757.0695666372776
1_afr,2009,877.1265180818737
6_wpr,2009,1689.7551517402753
4_eur,2009,442.739558047615
2_amr,2009,479.5012951493263
3_sear,2009,1063.2343989163637
6_wpr,2010,1676.1601482918486
4_eur,2010,428.2995900819078
1_afr,2010,894.3642550073564
3_sear,2010,1025.4092822149396
2_amr,2010,518.1750007271767
5_emr,2010,764.9230870604515
1_afr,2011,975.1814142465591
4_eur,2011,359.92240963410586
5_emr,2011,767.2111526429653
3_sear,2011,987.164661385119
2_amr,2011,473.7288492023945
6_wpr,2011,1733.6157040165272
2_amr,2012,497.68664994835854
6_wpr,2012,1664.7257008203305
5_emr,2012,764.1376290023327
3_sear,2012,950.1927766352892
1_afr,2012,948.2251132205129
4_eur,2012,385.74998419964686
1_afr,2013,912.8898977674544
5_emr,2013,754.712650001049
2_amr,2013,519.5347514748573
4_eur,2013,335.9150884398259
3_sear,2013,887.6301401555538
6_wpr,2013,1547.26651939773
2_amr,2014,441.33337008208036
5_emr,2014,742.8196525871754
3_sear,2014,831.2409556135535
4_eur,2014,334.80599041236565
1_afr,2014,917.8975157290697
6_wpr,2014,1419.8228025715798
2_amr,2015,492.2321658730507
4_eur,2015,323.0145219708793
6_wpr,2015,1190.3398821360897
1_afr,2015,903.1962976157665
5_emr,2015,733.4513638913631
3_sear,2015,778.8162705525756
2_amr,2016,474.1817972511053
1_afr,2016,905.3387475684285
3_sear,2016,742.0974419638515
5_emr,2016,722.2208339869976
6_wpr,2016,1097.092214231845
4_eur,2016,300.6149232420139
1_afr,2017,898.0511307567358
2_amr,2017,460.1964134424925
4_eur,2017,286.02827839460224
3_sear,2017,708.9492818638682
5_emr,2017,702.9192653298378
6_wpr,2017,1009.7555525039788
