region,year,ufive10
5_emr,2000,175503.88919830322
6_wpr,2000,129528.19953250512
1_afr,2000,367680.8636484146
2_amr,2000,87957.2235956192
3_sear,2000,560271.4737930298
4_eur,2000,46880.811580479145
5_emr,2001,173852.67713928223
2_amr,2001,83522.15690469742
3_sear,2001,548892.5238571167
6_wpr,2001,124643.77428727224
1_afr,2001,364173.75506830215
4_eur,2001,44659.46790716052
5_emr,2002,172471.19863128662
3_sear,2002,537400.3991203308
4_eur,2002,42621.48475456238
1_afr,2002,360132.0848593712
6_wpr,2002,119823.31351496279
2_amr,2002,78549.23985767365
6_wpr,2003,114497.46198829263
4_eur,2003,40480.501331716776
3_sear,2003,526055.8113174438
1_afr,2003,356219.24323034286
5_emr,2003,171867.34645080566
2_amr,2003,74900.59387946129
4_eur,2004,39214.164715737104
5_emr,2004,171841.7677230835
6_wpr,2004,109669.33317428827
1_afr,2004,352728.0425801277
3_sear,2004,515030.3250198364
2_amr,2004,69654.45601558685
4_eur,2005,37398.31374397874
2_amr,2005,67622.16637849808
6_wpr,2005,105122.77046904713
5_emr,2005,172367.93559646606
3_sear,2005,503308.9137992859
1_afr,2005,349656.36328554153
1_afr,2006,347773.68815612793
2_amr,2006,63249.18301773071
5_emr,2006,173830.43780136108
4_eur,2006,35828.6241106987
3_sear,2006,492070.5969619751
6_wpr,2006,100425.35386935622
5_emr,2007,175910.8310699463
1_afr,2007,345466.19113588333
6_wpr,2007,95671.13564656675
2_amr,2007,61017.83458399773
3_sear,2007,480512.5005054474
4_eur,2007,34418.99713024497
5_emr,2008,177709.72481536865
6_wpr,2008,89715.35046802834
3_sear,2008,468304.59565734863
2_amr,2008,59127.957223176956
4_eur,2008,33071.486710101366
1_afr,2008,342950.0889573097
5_emr,2009,179991.09475326538
1_afr,2009,341960.70688581467
6_wpr,2009,84405.52202262357
4_eur,2009,31693.623748749495
2_amr,2009,56744.76530575752
3_sear,2009,454879.31707954407
6_wpr,2010,79904.33365442231
4_eur,2010,30586.947512239218
1_afr,2010,343534.70553445816
3_sear,2010,441151.66596984863
2_amr,2010,54997.305720329285
5_emr,2010,182841.4443912506
1_afr,2011,345368.34415864944
4_eur,2011,28718.14469501376
5_emr,2011,185571.58227157593
3_sear,2011,427318.41464424133
2_amr,2011,52909.791021585464
6_wpr,2011,74966.37791276723
2_amr,2012,51210.30376982689
6_wpr,2012,70447.98812404647
5_emr,2012,186714.61179733276
3_sear,2012,413696.4175453186
1_afr,2012,346107.3641009331
4_eur,2012,28249.832633256912
1_afr,2013,345399.9773597717
5_emr,2013,186426.2238960266
2_amr,2013,49990.30080103874
4_eur,2013,27265.37241616845
3_sear,2013,400414.905172348
6_wpr,2013,66085.53436738625
2_amr,2014,48940.38795852661
5_emr,2014,183986.9828338623
3_sear,2014,387090.23648262024
4_eur,2014,25779.46055468917
1_afr,2014,342131.3717017174
6_wpr,2014,61876.04866151512
2_amr,2015,47423.566042900085
4_eur,2015,24432.69074371457
6_wpr,2015,58189.788674630225
1_afr,2015,338036.8401646614
5_emr,2015,180516.10626602173
3_sear,2015,374236.5095920563
2_amr,2016,47847.780000925064
1_afr,2016,333276.58282232285
3_sear,2016,356891.47998046875
5_emr,2016,176549.2022857666
6_wpr,2016,54900.14522255957
4_eur,2016,23025.094859570265
1_afr,2017,330057.87057352066
2_amr,2017,46416.65139782429
4_eur,2017,21823.17495599389
3_sear,2017,341482.8566169739
5_emr,2017,172579.4004020691
6_wpr,2017,52006.30542816967
