country,year,pnd
ben,2007,26427.443359375
ben,2008,26864.6328125
ben,2009,27246.001953125
ben,2010,27122.216796875
ben,2011,27211.80078125
ben,2012,26939.376953125
ben,2013,27159.716796875
ben,2014,27178.640625
ben,2015,26292.1875
ben,2016,26073.314453125
ben,2017,25724.044921875
bfa,2000,78152.2109375
bfa,2001,72271.140625
bfa,2002,73877.1640625
bfa,2003,70827.6953125
bfa,2004,66440.46875
bfa,2005,64352.6953125
bfa,2006,62913.41796875
bfa,2007,60619.53515625
bfa,2008,57838.1484375
bfa,2009,73327.0546875
bfa,2010,55162.76953125
bfa,2011,51413.7734375
bfa,2012,59110.30859375
bfa,2013,46527.515625
bfa,2014,44248.20703125
bfa,2015,41608.04296875
bfa,2016,40497.4453125
bfa,2017,39425.48046875
bgd,2000,160687.125
bgd,2001,150586.296875
bgd,2002,140335.0625
bgd,2003,131935.125
bgd,2004,132940.859375
bgd,2005,123739.84375
bgd,2006,111376.765625
bgd,2007,90038.4453125
bgd,2008,85160.9609375
bgd,2009,78385.15625
bgd,2010,72813.453125
bgd,2011,68684.4453125
bgd,2012,62186.96484375
bgd,2013,57663.0546875
bgd,2014,53281.59765625
bgd,2015,48274.54296875
bgd,2016,45573.8125
bgd,2017,44843.40625
bgr,2000,649.9999389648438
bgr,2001,606.0
bgr,2002,572.0
bgr,2003,544.0
bgr,2004,520.0
bgr,2005,496.0
bgr,2006,475.9999694824219
bgr,2007,459.0
bgr,2008,443.0
bgr,2009,425.0000305175781
bgr,2010,405.0
bgr,2011,384.0
bgr,2012,361.0
bgr,2013,337.0000305175781
bgr,2014,313.0
bgr,2015,289.0000305175781
bgr,2016,268.0
bgr,2017,250.0
bhr,2000,112.0
bhr,2001,113.0
bhr,2002,113.0
bhr,2003,114.0
bhr,2004,116.0
bhr,2005,116.0
bhr,2006,115.0
bhr,2007,114.0
bhr,2008,111.0
bhr,2009,106.0
bhr,2010,102.0
bhr,2011,99.0
bhr,2012,96.0
bhr,2013,94.0
bhr,2014,93.0
bhr,2015,91.99999237060547
bhr,2016,91.0
bhr,2017,91.0
bhs,2000,42.999996185302734
bhs,2001,41.0
bhs,2002,39.0
bhs,2003,36.0
bhs,2004,34.0
bhs,2005,32.0
bhs,2006,30.0
bhs,2007,29.0
bhs,2008,29.000001907348633
bhs,2009,26.999998092651367
bhs,2010,27.0
bhs,2011,25.999998092651367
bhs,2012,24.0
bhs,2013,22.000001907348633
bhs,2014,21.999998092651367
bhs,2015,20.000001907348633
bhs,2016,19.0
bhs,2017,17.999998092651367
bih,2000,155.21188354492188
bih,2001,146.30226135253906
bih,2002,138.3177032470703
bih,2003,133.34718322753906
bih,2004,129.3723907470703
bih,2005,122.39486694335938
bih,2006,114.42041778564453
bih,2007,104.4924087524414
bih,2008,92.52149200439453
bih,2009,81.55585479736328
bih,2010,73.60260009765625
bih,2011,67.64424133300781
bih,2012,62.68391418457031
bih,2013,60.71942138671875
bih,2014,60.424522399902344
bih,2015,57.31356430053711
bih,2016,56.38313293457031
bih,2017,56.082950592041016
blr,2000,623.0
blr,2001,571.0000610351562
blr,2002,527.0
blr,2003,492.9999694824219
blr,2004,472.0
blr,2005,460.0
blr,2006,451.9999694824219
blr,2007,442.9999694824219
blr,2008,429.0
blr,2009,409.9999694824219
blr,2010,385.0
blr,2011,357.0
blr,2012,326.0
blr,2013,300.0
blr,2014,283.0
blr,2015,271.0
blr,2016,261.0
blr,2017,249.0
blz,2000,84.99998474121094
blz,2001,83.0
blz,2002,83.00000762939453
blz,2003,83.99998474121094
blz,2004,86.0
blz,2005,88.0
blz,2006,88.99999237060547
blz,2007,89.0
blz,2008,83.99999237060547
blz,2009,78.00000762939453
blz,2010,70.00000762939453
blz,2011,64.0
blz,2012,57.999996185302734
blz,2013,54.0
blz,2014,50.000003814697266
blz,2015,48.0
blz,2016,46.0
blz,2017,43.999996185302734
bol,2000,12575.9990234375
bol,2001,11794.0
bol,2002,10980.9990234375
