global,year,fufive8
global,2000,0.06573838740587234
global,2001,0.06779001653194427
global,2002,0.06995505839586258
global,2003,0.07091077417135239
global,2004,0.07351423799991608
global,2005,0.07280521094799042
global,2006,0.07333815842866898
global,2007,0.07189078629016876
global,2008,0.06791851669549942
global,2009,0.06595727056264877
global,2010,0.06325361877679825
global,2011,0.05961696431040764
global,2012,0.05726585164666176
global,2013,0.05480143427848816
global,2014,0.052996061742305756
global,2015,0.05121765285730362
global,2016,0.049416493624448776
global,2017,0.04861981421709061
