global,year,ufive17
global,2000,448311.88571009645
global,2001,434562.4176388895
global,2002,420795.6639744849
global,2003,407163.56154129165
global,2004,429320.7456222321
global,2005,390052.2623068999
global,2006,384874.0155224367
global,2007,378479.91315143177
global,2008,394849.2061014329
global,2009,370249.823518008
global,2010,400693.21226261556
global,2011,362988.52635959536
global,2012,357747.89443801343
global,2013,355727.7255036682
global,2014,353162.27111518383
global,2015,352633.29689199943
global,2016,345651.63515947387
global,2017,336271.2174443165
