global,year,fpost10
global,2000,0.02010824717581272
global,2001,0.020331960171461105
global,2002,0.020623181015253067
global,2003,0.020555302500724792
global,2004,0.021387502551078796
global,2005,0.021643849089741707
global,2006,0.02282167784869671
global,2007,0.023858943954110146
global,2008,0.024240311235189438
global,2009,0.02496463991701603
global,2010,0.0256174486130476
global,2011,0.026107901707291603
global,2012,0.027049021795392036
global,2013,0.02758549526333809
global,2014,0.028556158766150475
global,2015,0.029194779694080353
global,2016,0.029471665620803833
global,2017,0.029963422566652298
