country,year,rpost17
afg,2000,4.315149784088135
afg,2001,4.332882404327393
afg,2002,4.315682888031006
afg,2003,4.301208972930908
afg,2004,4.2657084465026855
afg,2005,4.211367607116699
afg,2006,4.1494927406311035
afg,2007,4.110237121582031
afg,2008,4.107087135314941
afg,2009,4.133745193481445
afg,2010,4.1120805740356445
afg,2011,4.02640438079834
afg,2012,3.893688678741455
afg,2013,3.7430434226989746
afg,2014,3.7777748107910156
afg,2015,3.749509811401367
afg,2016,3.6150004863739014
afg,2017,3.4901299476623535
ago,2000,6.556447982788086
ago,2001,6.474658012390137
ago,2002,6.546281337738037
ago,2003,6.457581043243408
ago,2004,6.359060764312744
ago,2005,6.318118572235107
ago,2006,6.295594215393066
ago,2007,6.291369915008545
ago,2008,6.22368049621582
ago,2009,6.069511413574219
ago,2010,5.872954368591309
ago,2011,5.633514881134033
ago,2012,5.391170978546143
ago,2013,5.189778804779053
ago,2014,5.177264213562012
ago,2015,5.066508769989014
ago,2016,4.842363357543945
ago,2017,4.632710933685303
alb,2000,2.4872756004333496
alb,2001,2.340111494064331
alb,2002,2.187426805496216
alb,2003,2.04516339302063
alb,2004,1.9066377878189087
alb,2005,1.7689088582992554
alb,2006,1.6358318328857422
alb,2007,1.5252313613891602
alb,2008,1.4158631563186646
alb,2009,1.216253638267517
alb,2010,1.1390929222106934
alb,2011,1.0768537521362305
alb,2012,1.0045052766799927
alb,2013,0.8924942016601562
alb,2014,0.7740570902824402
alb,2015,0.6830325126647949
alb,2016,0.5955944061279297
alb,2017,0.5441035032272339
and,2000,0.0063916523940861225
and,2001,0.00789600145071745
and,2002,0.0064486172050237656
and,2003,0.0034170818980783224
and,2004,0.0023918694350868464
and,2005,0.0015947202919051051
and,2006,0.0008043905254453421
and,2007,0.0006218273774720728
and,2008,0.00018333611660636961
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,0.8511660099029541
are,2001,0.8365362882614136
are,2002,0.8102189898490906
are,2003,0.7859283089637756
are,2004,0.7674214839935303
are,2005,0.7470729351043701
are,2006,0.7343394160270691
are,2007,0.7093733549118042
are,2008,0.6989139318466187
are,2009,0.6815196871757507
are,2010,0.6725441813468933
are,2011,0.6670904159545898
are,2012,0.6754694581031799
are,2013,0.6873597502708435
are,2014,0.7174777388572693
are,2015,0.7516396045684814
are,2016,0.7855773568153381
are,2017,0.8071483969688416
arg,2000,1.622846007347107
arg,2001,1.401411533355713
arg,2002,1.1898072957992554
arg,2003,1.0393885374069214
arg,2004,1.0655757188796997
arg,2005,1.1280310153961182
arg,2006,1.1888034343719482
arg,2007,1.137896180152893
arg,2008,0.954838216304779
arg,2009,0.9589598774909973
arg,2010,0.978206217288971
arg,2011,0.8865057229995728
arg,2012,0.9279040694236755
arg,2013,0.7962826490402222
arg,2014,0.7359848022460938
arg,2015,0.6782192587852478
arg,2016,0.6103176474571228
