country,year,rpost7
afg,2000,4.147214412689209
afg,2001,4.097661972045898
afg,2002,3.9805169105529785
afg,2003,3.867267370223999
afg,2004,3.7354204654693604
afg,2005,3.582690954208374
afg,2006,3.4237046241760254
afg,2007,3.1652841567993164
afg,2008,2.8382174968719482
afg,2009,2.4404540061950684
afg,2010,2.135314702987671
afg,2011,1.9221441745758057
afg,2012,1.804711103439331
afg,2013,1.70455801486969
afg,2014,1.392470359802246
afg,2015,1.1757720708847046
afg,2016,1.1121748685836792
afg,2017,1.051821231842041
ago,2000,9.617698669433594
ago,2001,9.261277198791504
ago,2002,5.788408279418945
ago,2003,5.449825286865234
ago,2004,5.054277420043945
ago,2005,4.562442302703857
ago,2006,4.011473655700684
ago,2007,3.4550726413726807
ago,2008,3.0518271923065186
ago,2009,2.7625770568847656
ago,2010,2.5493662357330322
ago,2011,2.350306272506714
ago,2012,2.1567540168762207
ago,2013,1.9248816967010498
ago,2014,1.550783395767212
ago,2015,1.3730227947235107
ago,2016,1.2729195356369019
ago,2017,1.1975605487823486
alb,2000,0.6352731585502625
alb,2001,0.5628442764282227
alb,2002,0.4972969889640808
alb,2003,0.4402056932449341
alb,2004,0.38855695724487305
alb,2005,0.34087347984313965
alb,2006,0.2980923056602478
alb,2007,0.2627066969871521
alb,2008,0.23020684719085693
alb,2009,0.25945526361465454
alb,2010,0.22897428274154663
alb,2011,0.20416535437107086
alb,2012,0.18112199008464813
alb,2013,0.15875786542892456
alb,2014,0.136480912566185
alb,2015,0.11676330119371414
alb,2016,0.09886365383863449
alb,2017,0.08777317404747009
and,2000,0.012978645972907543
and,2001,0.017636502161622047
and,2002,0.015496891923248768
and,2003,0.00879852194339037
and,2004,0.007229275070130825
and,2005,0.005962132476270199
and,2006,0.004793161991983652
and,2007,0.0038074669428169727
and,2008,0.002828957512974739
and,2009,0.0018754024058580399
and,2010,0.0009494620026089251
and,2011,0.0003202462976332754
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,0.16595765948295593
