global,year,fpost11
global,2000,0.01184217818081379
global,2001,0.012063928879797459
global,2002,0.012346383184194565
global,2003,0.012448200955986977
global,2004,0.013034624978899956
global,2005,0.01330790389329195
global,2006,0.01410415954887867
global,2007,0.01475586835294962
global,2008,0.015039926394820213
global,2009,0.01564200036227703
global,2010,0.016176216304302216
global,2011,0.0166839100420475
global,2012,0.01749296300113201
global,2013,0.018275972455739975
global,2014,0.01936429925262928
global,2015,0.020100925117731094
global,2016,0.020648138597607613
global,2017,0.02125251293182373
