global,year,neo11
global,2000,1060824.7882902473
global,2001,1032090.9340657964
global,2002,1001478.6346825212
global,2003,968919.7347645462
global,2004,936456.0547315255
global,2005,904247.83243379
global,2006,876303.8451776206
global,2007,848175.6729341522
global,2008,820392.8814004511
global,2009,792256.8650227189
global,2010,763043.4916203171
global,2011,734515.3661194816
global,2012,707656.0310398042
global,2013,683598.58224345
global,2014,661451.4297014996
global,2015,641192.3065796643
global,2016,624613.2037186027
global,2017,610267.4384826943
