region,year,post7
5_emr,2000,31134.744107869246
6_wpr,2000,14453.625528677512
1_afr,2000,136472.47222341906
2_amr,2000,8413.302614929362
3_sear,2000,91703.40117421278
4_eur,2000,4521.538808489223
5_emr,2001,29720.331624813192
2_amr,2001,7406.218644247374
3_sear,2001,84548.56767882587
6_wpr,2001,12669.042253888882
1_afr,2001,138981.8435487537
4_eur,2001,4038.3070785637688
5_emr,2002,29165.954529673676
3_sear,2002,84649.89218283002
4_eur,2002,3664.6698140925523
1_afr,2002,132804.08569468604
6_wpr,2002,11288.82576758834
2_amr,2002,6507.67696595099
6_wpr,2003,10263.885471130958
4_eur,2003,3378.2875158500046
3_sear,2003,80087.75485427097
1_afr,2003,139965.16971529962
5_emr,2003,26857.03717552962
2_amr,2003,5980.5892804469895
4_eur,2004,3039.0628515279054
5_emr,2004,26286.74576908188
6_wpr,2004,9055.433671842502
1_afr,2004,127768.61803373351
3_sear,2004,75613.14764667804
2_amr,2004,5662.154989617953
4_eur,2005,2812.099765172988
2_amr,2005,5267.495798629593
6_wpr,2005,9305.070249428014
5_emr,2005,27307.15513880589
3_sear,2005,67575.86097588946
1_afr,2005,129469.20397123785
1_afr,2006,101844.53310091973
2_amr,2006,5021.332243156193
5_emr,2006,26528.007546772656
4_eur,2006,2627.873890436462
3_sear,2006,63432.98407100737
6_wpr,2006,7913.667482021827
5_emr,2007,25291.652715117703
1_afr,2007,98080.38871630978
6_wpr,2007,7766.214211038741
2_amr,2007,4491.555347967405
3_sear,2007,59027.12395346947
4_eur,2007,2457.7552733796842
5_emr,2008,22431.84304639858
6_wpr,2008,7707.572963764736
3_sear,2008,54481.37025540742
2_amr,2008,4233.258201053182
4_eur,2008,2164.859272111813
1_afr,2008,110798.86599897433
5_emr,2009,20767.94956680734
1_afr,2009,92610.67253859768
6_wpr,2009,7453.732890132798
4_eur,2009,1968.3427619846948
2_amr,2009,3938.4358454664502
3_sear,2009,49893.94259190392
6_wpr,2010,7213.268345427389
4_eur,2010,1751.9316529808966
1_afr,2010,76686.85670665835
3_sear,2010,45620.1749123822
2_amr,2010,3936.717757274411
5_emr,2010,19437.90676575287
1_afr,2011,72419.7613303858
4_eur,2011,1585.408377178922
5_emr,2011,18283.032546905593
3_sear,2011,41752.58474983055
2_amr,2011,3324.025134710999
6_wpr,2011,6670.195452797403
2_amr,2012,2973.766253278824
6_wpr,2012,5945.250554937629
5_emr,2012,18380.030072951267
3_sear,2012,38145.360536099215
1_afr,2012,81204.35438976908
4_eur,2012,1419.0564838653368
1_afr,2013,72705.81166100064
5_emr,2013,14860.049779249948
2_amr,2013,2781.891463538983
4_eur,2013,1352.4045805449978
3_sear,2013,33661.48578473711
6_wpr,2013,5315.3156915421505
2_amr,2014,2526.456276771074
5_emr,2014,13544.491888144503
3_sear,2014,30361.601789242766
4_eur,2014,1213.3285296095253
1_afr,2014,56340.14015679885
6_wpr,2014,4808.37001645507
2_amr,2015,2386.514770748983
4_eur,2015,1189.2881655248866
6_wpr,2015,4311.421460967941
1_afr,2015,60535.22990467361
5_emr,2015,12653.176319873868
3_sear,2015,23987.032475986256
2_amr,2016,2323.643409116883
1_afr,2016,49642.47075175197
3_sear,2016,21558.522162943173
5_emr,2016,12190.400430096652
6_wpr,2016,3964.935648973738
4_eur,2016,1012.6696138386513
1_afr,2017,56184.42958341159
2_amr,2017,2271.3041739481278
4_eur,2017,950.3237082414722
3_sear,2017,19715.171214001195
5_emr,2017,11790.197349891576
6_wpr,2017,3611.547016782522
