country,year,neo15
afg,2000,2904.053466796875
afg,2001,3034.011474609375
afg,2002,3186.830078125
afg,2003,3365.3154296875
afg,2004,3534.62158203125
afg,2005,3610.3505859375
afg,2006,3631.925537109375
afg,2007,3640.227294921875
afg,2008,3642.98388671875
afg,2009,3648.360107421875
afg,2010,3622.7939453125
afg,2011,3599.181396484375
afg,2012,3596.39990234375
afg,2013,3634.847412109375
afg,2014,3680.974365234375
afg,2015,3721.204833984375
afg,2016,3753.209228515625
afg,2017,3667.24365234375
ago,2000,2810.580810546875
ago,2001,2682.779052734375
ago,2002,2558.068115234375
ago,2003,2457.880859375
ago,2004,2378.482666015625
ago,2005,2297.56201171875
ago,2006,2234.48388671875
ago,2007,2197.32275390625
ago,2008,2188.7763671875
ago,2009,2221.24609375
ago,2010,2277.932861328125
ago,2011,2361.571533203125
ago,2012,2460.397705078125
ago,2013,2579.63671875
ago,2014,2710.765869140625
ago,2015,2842.607177734375
ago,2016,2990.456298828125
ago,2017,2980.9111328125
alb,2000,108.5606918334961
alb,2001,102.36786651611328
alb,2002,96.23925018310547
alb,2003,89.19189453125
alb,2004,82.5064697265625
alb,2005,76.15945434570312
alb,2006,70.69693756103516
alb,2007,65.60311889648438
alb,2008,61.387123107910156
alb,2009,57.76002502441406
alb,2010,55.051902770996094
alb,2011,52.915523529052734
alb,2012,51.66630935668945
alb,2013,51.31589126586914
alb,2014,52.16994094848633
alb,2015,53.73507308959961
alb,2016,55.126548767089844
alb,2017,55.119895935058594
and,2000,0.0
and,2001,0.0
and,2002,0.0
and,2003,0.0
and,2004,0.0
and,2005,0.0
and,2006,0.0
and,2007,0.0
and,2008,0.0
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,85.52945709228516
are,2001,87.63905334472656
are,2002,90.87591552734375
are,2003,94.72904205322266
are,2004,98.87410736083984
are,2005,102.82672882080078
are,2006,106.61511993408203
are,2007,110.4156723022461
are,2008,113.43212890625
are,2009,115.55622100830078
are,2010,116.75997161865234
are,2011,117.5027847290039
are,2012,118.89700317382812
are,2013,120.40470886230469
are,2014,122.77629852294922
are,2015,125.38823699951172
are,2016,127.12754821777344
are,2017,127.7322769165039
arg,2000,1722.06298828125
arg,2001,1788.8348388671875
arg,2002,1737.7061767578125
arg,2003,1713.372802734375
arg,2004,1729.3099365234375
arg,2005,1617.0789794921875
arg,2006,1655.0032958984375
arg,2007,1513.98828125
arg,2008,1548.4410400390625
arg,2009,1629.1827392578125
arg,2010,1595.6639404296875
arg,2011,1574.499755859375
arg,2012,1606.036865234375
arg,2013,1478.7652587890625
arg,2014,1544.039794921875
arg,2015,1419.0909423828125
arg,2016,1325.9296875
arg,2017,1249.3741455078125
arm,2000,105.78726959228516
arm,2001,104.66339874267578
arm,2002,104.7910385131836
arm,2003,105.23543548583984
arm,2004,106.09730529785156
arm,2005,107.09300994873047
arm,2006,107.1441421508789
arm,2007,106.62452697753906
arm,2008,105.01295471191406
arm,2009,102.89014434814453
arm,2010,99.38050079345703
arm,2011,95.49932861328125
arm,2012,91.07371520996094
arm,2013,86.48045349121094
arm,2014,81.86968231201172
arm,2015,77.33172607421875
arm,2016,72.42950439453125
arm,2017,67.3946533203125
atg,2000,3.0213465690612793
atg,2001,2.1417109966278076
atg,2002,5.221794128417969
atg,2003,5.009634971618652
atg,2004,6.560696125030518
atg,2005,2.0591397285461426
atg,2006,2.2932522296905518
atg,2007,1.6535948514938354
atg,2008,1.6034857034683228
atg,2009,0.875
atg,2010,0.5576923489570618
atg,2011,1.1555556058883667
atg,2012,1.8937197923660278
atg,2013,2.492424249649048
atg,2014,2.819444417953491
atg,2015,2.97878098487854
atg,2016,2.7461228370666504
atg,2017,2.409722328186035
aus,2000,269.0977783203125
aus,2001,270.0
aus,2002,230.52304077148438
aus,2003,254.2843017578125
aus,2004,277.6212158203125
aus,2005,261.8918151855469
aus,2006,245.15338134765625
aus,2007,287.81573486328125
aus,2008,286.637939453125
aus,2009,256.60186767578125
aus,2010,263.287109375
aus,2011,226.91226196289062
aus,2012,248.62716674804688
aus,2013,231.38462829589844
aus,2014,204.7312469482422
aus,2015,216.99998474121094
aus,2016,206.31759643554688
aus,2017,200.37185668945312
aut,2000,92.2560043334961
aut,2001,80.34677124023438
aut,2002,63.362789154052734
aut,2003,52.348018646240234
aut,2004,59.383968353271484
aut,2005,63.26667022705078
aut,2006,47.08420944213867
aut,2007,50.6489372253418
aut,2008,65.97500610351562
aut,2009,63.809783935546875
aut,2010,54.233009338378906
aut,2011,73.01074981689453
aut,2012,66.92571258544922
aut,2013,73.06011199951172
aut,2014,64.01612854003906
aut,2015,61.061222076416016
aut,2016,72.1500015258789
aut,2017,70.9800033569336
aze,2000,418.2445983886719
aze,2001,418.21826171875
aze,2002,421.7478942871094
aze,2003,425.495849609375
aze,2004,429.7411193847656
aze,2005,435.9082336425781
aze,2006,444.61651611328125
aze,2007,457.2537841796875
aze,2008,469.5976257324219
aze,2009,482.03369140625
aze,2010,490.7437744140625
aze,2011,485.7708435058594
aze,2012,471.30401611328125
aze,2013,450.9039306640625
aze,2014,425.53619384765625
aze,2015,397.1602783203125
aze,2016,367.559326171875
aze,2017,333.7317810058594
bdi,2000,536.4567260742188
bdi,2001,545.8377075195312
bdi,2002,559.9785766601562
bdi,2003,576.8698120117188
bdi,2004,595.0595703125
bdi,2005,614.8853759765625
bdi,2006,637.2257690429688
bdi,2007,665.7371215820312
bdi,2008,696.5908203125
bdi,2009,728.8646240234375
bdi,2010,759.461669921875
bdi,2011,787.4624633789062
bdi,2012,811.8372802734375
bdi,2013,838.4317626953125
bdi,2014,863.5366821289062
bdi,2015,893.8779907226562
bdi,2016,919.3192749023438
bdi,2017,910.6301879882812
bel,2000,123.54354095458984
bel,2001,109.0
bel,2002,115.56097412109375
bel,2003,113.35423278808594
bel,2004,117.2955322265625
bel,2005,93.11222076416016
bel,2006,91.75324249267578
bel,2007,97.37379455566406
bel,2008,93.8837890625
bel,2009,91.35231018066406
bel,2010,91.46739959716797
bel,2011,86.63736724853516
bel,2012,111.83904266357422
bel,2013,94.93333435058594
bel,2014,82.00717163085938
bel,2015,94.86618041992188
bel,2016,93.19010162353516
bel,2017,91.17880249023438
ben,2000,558.32421875
ben,2001,561.2875366210938
ben,2002,567.0706176757812
ben,2003,575.441650390625
ben,2004,587.1683349609375
ben,2005,599.3689575195312
ben,2006,613.4793701171875
ben,2007,630.0103759765625
ben,2008,650.452880859375
ben,2009,675.5663452148438
ben,2010,699.9921264648438
ben,2011,721.0325927734375
ben,2012,739.35546875
ben,2013,756.8838500976562
ben,2014,773.190185546875
ben,2015,793.38671875
ben,2016,811.69140625
ben,2017,814.00146484375
bfa,2000,1105.5447998046875
bfa,2001,1092.210693359375
bfa,2002,1072.5028076171875
bfa,2003,1053.0404052734375
bfa,2004,1027.2081298828125
bfa,2005,1008.3367919921875
bfa,2006,999.1688232421875
bfa,2007,1002.8734741210938
bfa,2008,1018.2911987304688
bfa,2009,1042.1927490234375
bfa,2010,1073.91845703125
bfa,2011,1109.760498046875
bfa,2012,1150.4278564453125
bfa,2013,1192.540771484375
bfa,2014,1233.9405517578125
bfa,2015,1274.812255859375
bfa,2016,1318.076171875
bfa,2017,1309.487060546875
bgd,2000,9878.478515625
bgd,2001,9766.3056640625
bgd,2002,9665.4111328125
bgd,2003,9625.6630859375
bgd,2004,9650.462890625
bgd,2005,9741.6669921875
bgd,2006,9831.2744140625
bgd,2007,9820.3779296875
bgd,2008,9720.23828125
bgd,2009,9488.0361328125
bgd,2010,9232.87109375
bgd,2011,8959.7275390625
bgd,2012,8703.8330078125
bgd,2013,8475.7900390625
bgd,2014,8286.96875
bgd,2015,8059.779296875
bgd,2016,7769.26025390625
bgd,2017,7278.48193359375
bgr,2000,155.8552703857422
bgr,2001,151.709228515625
bgr,2002,151.81935119628906
bgr,2003,142.59182739257812
bgr,2004,133.8333282470703
bgr,2005,142.27699279785156
bgr,2006,126.80412292480469
bgr,2007,95.16343688964844
