region,year,age_group,cause,death_rate
6_wpr,2005,neo,3,0.07487240433692932
5_emr,2005,neo,3,0.37199437618255615
3_sear,2005,neo,3,0.4073335528373718
1_afr,2005,neo,3,0.27557384967803955
1_afr,2006,neo,3,0.2552216947078705
2_amr,2006,neo,3,0.012840209528803825
5_emr,2006,neo,3,0.36036068201065063
4_eur,2006,neo,3,0.011520711705088615
3_sear,2006,neo,3,0.38023295998573303
6_wpr,2006,neo,3,0.06318023055791855
5_emr,2007,neo,3,0.35024353861808777
1_afr,2007,neo,3,0.2365565448999405
6_wpr,2007,neo,3,0.05646549537777901
2_amr,2007,neo,3,0.012283151969313622
3_sear,2007,neo,3,0.35264959931373596
4_eur,2007,neo,3,0.010479111224412918
5_emr,2008,neo,3,0.3382714092731476
6_wpr,2008,neo,3,0.04918902367353439
3_sear,2008,neo,3,0.32503509521484375
2_amr,2008,neo,3,0.011669304221868515
4_eur,2008,neo,3,0.009632213041186333
1_afr,2008,neo,3,0.22059154510498047
5_emr,2009,neo,3,0.3273684084415436
1_afr,2009,neo,3,0.20773741602897644
6_wpr,2009,neo,3,0.04196898266673088
4_eur,2009,neo,3,0.00887742917984724
2_amr,2009,neo,3,0.010993782430887222
3_sear,2009,neo,3,0.29740744829177856
6_wpr,2010,neo,3,0.03733626753091812
4_eur,2010,neo,3,0.00818755105137825
1_afr,2010,neo,3,0.1993333250284195
3_sear,2010,neo,3,0.2704751193523407
2_amr,2010,neo,3,0.010770317167043686
5_emr,2010,neo,3,0.31789714097976685
1_afr,2011,neo,3,0.1930203139781952
4_eur,2011,neo,3,0.007474501151591539
5_emr,2011,neo,3,0.31085899472236633
3_sear,2011,neo,3,0.2441878318786621
2_amr,2011,neo,3,0.009808927774429321
6_wpr,2011,neo,3,0.033582501113414764
2_amr,2012,neo,3,0.009345843456685543
6_wpr,2012,neo,3,0.033612363040447235
5_emr,2012,neo,3,0.30330967903137207
3_sear,2012,neo,3,0.21899467706680298
1_afr,2012,neo,3,0.1873064935207367
4_eur,2012,neo,3,0.006808261387050152
1_afr,2013,neo,3,0.1802598387002945
5_emr,2013,neo,3,0.29554426670074463
2_amr,2013,neo,3,0.00891785603016615
4_eur,2013,neo,3,0.00618097884580493
3_sear,2013,neo,3,0.19506217539310455
6_wpr,2013,neo,3,0.03319704160094261
2_amr,2014,neo,3,0.008434033952653408
5_emr,2014,neo,3,0.2849411070346832
3_sear,2014,neo,3,0.17299818992614746
4_eur,2014,neo,3,0.0056180329993367195
1_afr,2014,neo,3,0.1719844937324524
6_wpr,2014,neo,3,0.031467318534851074
2_amr,2015,neo,3,0.008010986261069775
4_eur,2015,neo,3,0.005116824060678482
6_wpr,2015,neo,3,0.0301269069314003
1_afr,2015,neo,3,0.16394944489002228
5_emr,2015,neo,3,0.27562931180000305
3_sear,2015,neo,3,0.15354260802268982
