global,year,post15
global,2000,242352.97760234665
global,2001,239501.54445319017
global,2002,236026.88292727177
global,2003,230377.08219664614
global,2004,227647.22680872312
global,2005,223739.56344049235
global,2006,222461.12165142444
global,2007,220532.67240093547
global,2008,217267.57349400176
global,2009,215130.82969255236
global,2010,215167.16564613878
global,2011,212432.0528365579
global,2012,207816.03992313132
global,2013,205173.84801028407
global,2014,203184.46123059763
global,2015,201303.1745743902
global,2016,197037.09549297293
global,2017,190646.99633257205
